Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
Mon, 15 Jul 2013 20:25:00 +0200;DuckTales;Bangerra|Dxtr;NES;Any% Difficult;Race;;0:07:43;ESA 2013;qXxHgbE3Zjg
Mon, 15 Jul 2013 20:35:00 +0200;DuckTales 2;Dxtr|Bangerra;NES;Any% Difficult;Race;;0:15:41;ESA 2013;Lcy9S9qqKSc
Mon, 15 Jul 2013 21:00:00 +0200;Super Mario Kart;KVD;SNES;All Cups 2P;;;0:34:11;ESA 2013;0qTu24BmnPQ
Mon, 15 Jul 2013 22:25:00 +0200;Mega Man X2;IrregularJinny;SNES;100%;;;0:41:27;ESA 2013;cq_rlysq4gE
Mon, 15 Jul 2013 23:15:00 +0200;Mega Man X3;IrregularJinny;SNES;Low% PSX;;;0:33:57;ESA 2013;yoFDdIDjey0
Mon, 15 Jul 2013 23:55:00 +0200;Ape Escape;Markhest;PSX;100%;;;0:45:00;ESA 2013;hD5xraXVzzM
Mon, 15 Jul 2013 24:55:00 +0200;Ape Escape;Markhest;PSX;Any%;;;0:54:20;ESA 2013;UMhsyUDD06U
Tue, 16 Jul 2013 02:15:00 +0200;Maximo: Ghosts to Glory;A-M;PS2;Any%;;;0:57:10;ESA 2013;wpCXwpHH5Fs
Tue, 16 Jul 2013 03:25:00 +0200;Otogi: Myths of Demons;Dalfen;Xbox;Any%;;;1:08:34;ESA 2013;VYAls4-KGR4
Tue, 16 Jul 2013 04:50:00 +0200;Bionic Commando Rearmed;Kennyman666;Xbox 360;Any%;;;0:31:14;ESA 2013;dfmV8UG413E
Tue, 16 Jul 2013 05:30:00 +0200;The Battle of Olympus;Crippe;NES;Any%;;;0:46:05;ESA 2013;YCgR6WY0bfo
Tue, 16 Jul 2013 06:30:00 +0200;Bubble Bobble;Meridian;NES;Happy End;;;1:07:59;ESA 2013;Of7PJtiwQg4
Tue, 16 Jul 2013 07:45:00 +0200;Dr. Robotnik's Mean Bean Machine;RoboSparkle;Genesis;Any% Hardest;;;0:23:15;ESA 2013;449rReZP1CQ
Tue, 16 Jul 2013 08:05:00 +0200;James Pond 2;RoboSparkle;Genesis;C.H.E.A.T.;;;0:01:12;ESA 2013;p-ZyUfWrNuU
Tue, 16 Jul 2013 08:40:00 +0200;Mario Kart Wii;Pro_JN|Rudmarker;Wii;Retro Cups 2P;Co-Op;;0:40:18;ESA 2013;i9XEm7lKwZE
Tue, 16 Jul 2013 09:35:00 +0200;Dr. Mario;Meridian;SNES;0-20 + 1M Points;;;0:58:58;ESA 2013;xjEQQRk7Wdo
Tue, 16 Jul 2013 10:30:00 +0200;Star Fox 64;Pottoww;N64;Any%;;;0:26:45;ESA 2013;CllIb6KQ4T0
Tue, 16 Jul 2013 11:00:00 +0200;Star Fox: Assault;Pottoww;Gamecube;Any% Bronze;;;0:47:49;ESA 2013;4dAphfdWMac
Tue, 16 Jul 2013 12:00:00 +0200;F-Zero X;WMJ;N64;Grand Prix;;;0:46:18;ESA 2013;zZtc3iUBazY
Tue, 16 Jul 2013 12:50:00 +0200;Kirby's Dream Land;Bangerra;GB;Any%;;;0:12:36;ESA 2013;h-YZhdLOVvQ
Tue, 16 Jul 2013 13:05:00 +0200;Pokemon Snap;GoronGuy;Wii VC;Any%;;;0:26:08;ESA 2013;i-Y6Ds8sRG4
Tue, 16 Jul 2013 13:45:00 +0200;Donkey Kong;Svenne;NES;Showcase;;;0:02:38;ESA 2013;lsSO0KHPQ7o
Tue, 16 Jul 2013 13:50:00 +0200;Donkey Kong Country;Klosty|Tompa;SNES;All Stages;Race;;0:36:47;ESA 2013;WZ4iF8qALMU
Tue, 16 Jul 2013 14:35:00 +0200;Donkey Kong Country Returns;PartyStar;Wii;Any%;;;1:39:38;ESA 2013;tLEsb2og5VM
Tue, 16 Jul 2013 17:15:00 +0200;Ninja Gaiden;Dxtr|Arctic_Eagle;NES;Any%;Race;;0:12:16;ESA 2013;8ir8v0DWPjw
Tue, 16 Jul 2013 17:35:00 +0200;Ninja Gaiden II: The Dark Sword of Chaos;IrregularJinny;NES;Any%;;;0:15:08;ESA 2013;yAehl7OMEVk
Tue, 16 Jul 2013 17:55:00 +0200;Ninja Gaiden Shadow;Bangerra;GB;Any%;;;0:15:45;ESA 2013;eqyDB4GK8iA
