Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
Tue 26 Jul 2016 10:55:00 +0200;A Story About My Uncle;[PenAgain](http://twitch.tv/PenAgain);PC;Any% NoFling;;;0:32:30;ESA 2016;-9te2v69haU
Sun 24 Jul 2016 04:30:00 +0200;Aliens versus Predator 2;[cruxit](http://twitch.tv/cruxit);PC;Easy Alien campaign;;;0:17:11;ESA 2016;k7-Ub6UTW5s
Sat 23 Jul 2016 20:21:00 +0200;American McGee's Alice;[Arctice](http://twitch.tv/Arctice);PC;Any%;;;1:02:23;ESA 2016;HycwsdTsV_8
Tue 26 Jul 2016 06:22:00 +0200;Arabian Nights;[thekotti](http://twitch.tv/thekotti);PC;Any%;;;0:43:16;ESA 2016;RZHVbBscbx8
Sun 24 Jul 2016 18:25:00 +0200;Axiom Verge;[zekks](http://twitch.tv/zekks), [Brother_main](http://twitch.tv/Brother_main);PC;Any%;Race;;0:38:00;ESA 2016;njX8gTwSuao
Sun 24 Jul 2016 18:02:00 +0200;Batman: The Video Game (NES);[EndySWE](http://twitch.tv/EndySWE), [dxtrslab](http://twitch.tv/dxtrslab), [infestedriche](http://twitch.tv/infestedriche);NES;Any%;Race;;0:11:08;ESA 2016;7SBIuO4AUss
Fri 29 Jul 2016 16:11:00 +0200;BattleBlock Theater;[SeductiveSpatula](http://twitch.tv/SeductiveSpatula), [HaosEdge](http://twitch.tv/HaosEdge);PC;Any% No Level Skip;Co-Op;;1:24:45;ESA 2016;YOluckgbJXU
Wed 27 Jul 2016 13:51:00 +0200;Beetle Adventure Racing!;[andypanther](http://twitch.tv/andypanther);N64;Bonus Circuit, max points;;;0:37:08;ESA 2016;kGutbPhTj-U
Mon 25 Jul 2016 05:50:00 +0200;BioShock Infinite;[henyK](http://twitch.tv/henyK);PC;Any%;;;1:56:16;ESA 2016;p6ecRUHiEjY
Mon 25 Jul 2016 18:39:00 +0200;Bloodborne;[MrTakahashi](http://twitch.tv/MrTakahashi);PS4;All Bosses with DLC;;;1:36:06;ESA 2016;zp-hxgQTlBs
Tue 26 Jul 2016 01:43:00 +0200;Borderlands 2;[inkalex](http://twitch.tv/inkalex), [Vemirtar](http://twitch.tv/Vemirtar), [Filly_Vinyl](http://twitch.tv/Filly_Vinyl), [Stenkaempen](http://twitch.tv/Stenkaempen);PC;4-Player Co-Op;Co-Op;;1:56:53;ESA 2016;Oq_vkWVnhrc
Wed 27 Jul 2016 13:03:00 +0200;Buck Bumble;[Rueake](http://twitch.tv/Rueake);N64;Any%;;;0:38:26;ESA 2016;bWiqr6u69PE
Thu 28 Jul 2016 03:57:00 +0200;Castlevania: Symphony of the Night;[Metako](http://twitch.tv/Metako);Xbox 360;Any% No Save Corruption;;;0:18:54;ESA 2016;wnwttCR6KJQ
Fri 29 Jul 2016 11:38:00 +0200;Catherine;[Mrzwanzig](http://twitch.tv/Mrzwanzig);PS3;Any% Normal;;;1:28:34;ESA 2016;FQhxpxJf81A
Wed 27 Jul 2016 04:01:00 +0200;Chex Quest 3;[Freddeh](http://twitch.tv/Freddeh);PC;UV Any%;;;0:22:25;ESA 2016;AGScfWEMKuo
Fri 29 Jul 2016 00:47:00 +0200;Chiki Chiki Boys;[JohnUK89](http://twitch.tv/JohnUK89);Genesis;Any% Blue Twin;;;0:19:30;ESA 2016;jhh9_bWJejI
Fri 29 Jul 2016 04:48:00 +0200;Chip 'N Dale: Rescue Rangers;[EndySWE](http://twitch.tv/EndySWE), [KrazyRasmus](http://twitch.tv/KrazyRasmus), [Nudua](http://twitch.tv/Nudua);NES;Any%;Race;;0:11:04;ESA 2016;ZfrmIuaBjZU
Fri 29 Jul 2016 10:40:00 +0200;Command & Conquer: Generals ;[tyriounet](http://twitch.tv/tyriounet);PC;China campaign;;;0:45:23;ESA 2016;Ov1-9BIBdlc
Fri 29 Jul 2016 18:42:00 +0200;Cornerstone;;PC;Run Invalid Routing Competition;;;0:23:45;ESA 2016;NtgTAUaZj1U
Sun 24 Jul 2016 07:55:00 +0200;Crash  Bandicoot;[mikl](http://twitch.tv/mikl);PS2;Any% ;;;0:49:18;ESA 2016;_RSH4V2JglU
Wed 27 Jul 2016 15:42:00 +0200;Croc: Legend of the Gobbos;[esgpuppetmaster](http://twitch.tv/esgpuppetmaster);PS2;100%;;;1:45:07;ESA 2016;V18eOMY4ehM
Mon 25 Jul 2016 00:13:00 +0200;Dark Souls 3;[Elajjaz](http://twitch.tv/Elajjaz);PC;All Bosses;;;1:19:47;ESA 2016;gsbIG1N1Cns
Fri 29 Jul 2016 13:33:00 +0200;Disgaea 2: Dark Hero Days;[PinkPajamas](http://twitch.tv/PinkPajamas);PSTV;Any%;;;2:17:21;ESA 2016;AfdP5lGdc6I
Fri 29 Jul 2016 20:46:00 +0200;Dishonored;[JanMumrik](http://twitch.tv/JanMumrik);PC;Non-Lethal/Ghost;;;0:42:39;ESA 2016;aIrV_Et0AEY
Sun 24 Jul 2016 10:26:00 +0200;Disney's Tarzan;[chinatsun](http://twitch.tv/chinatsun), [Joelnir](http://twitch.tv/Joelnir), [Jazzy](http://twitch.tv/Jazzy), [T1g3r_94](http://twitch.tv/T1g3r_94);PC;Any% (Easy);;;0:23:35;ESA 2016;hOcwRmj2_rQ
Fri 29 Jul 2016 03:27:00 +0200;Donkey Kong '94;[Shiekrunner](http://twitch.tv/Shiekrunner);SGB;Any%;;;1:11:54;ESA 2016;QFWwnAPMOt8
Sun 24 Jul 2016 05:26:00 +0200;Doritos Crash Course;[Respirte](http://twitch.tv/Respirte), [Bensagram](http://twitch.tv/Bensagram);Xbox 360;Any% (No Chicken);Race;;0:24:00;ESA 2016;zHzhpvFc9Ms
Thu 28 Jul 2016 12:14:00 +0200;Dragon Age: Origins;[Fatzke](http://twitch.tv/Fatzke);PC;Any%;;;0:54:42;ESA 2016;lqDLM0H97XY
Thu 28 Jul 2016 16:54:00 +0200;Driver: You Are The Wheelman;[pitp0](http://twitch.tv/pitp0), [ultimaomega07](http://twitch.tv/ultimaomega07), [Mhmd_FVC](http://twitch.tv/Mhmd_FVC), [nozlar](http://twitch.tv/nozlar);PS2;Any% PS (Race);;;1:44:32;ESA 2016;LbZ_MTqw8uw
Mon 25 Jul 2016 17:03:00 +0200;DuckTales;[Nudua](http://twitch.tv/Nudua), [EndySWE](http://twitch.tv/EndySWE), [dxtrslab](http://twitch.tv/dxtrslab), [Purjo83](http://twitch.tv/Purjo83);NES;Any% (Difficult);Race;;0:08:57;ESA 2016;jX9yxJngYlo
Mon 25 Jul 2016 16:25:00 +0200;DuckTales 2;[garadas21](http://twitch.tv/garadas21);NES;Any% (Difficult);;;0:10:59;ESA 2016;lFH1S08yc4Y
Mon 25 Jul 2016 10:39:00 +0200;Dynowarz: Destruction of Spondylus;[llaml](http://twitch.tv/llaml);NES;Any%;;;0:19:49;ESA 2016;yrSMOsYc5_I
Thu 28 Jul 2016 21:00:00 +0200;Environmental Station Alpha;[Jazzy](http://twitch.tv/Jazzy), [esgpuppetmaster](http://twitch.tv/esgpuppetmaster);PC;Any% (inbounds);Race;;0:19:50;ESA 2016;w4qwPCqzQos
Tue 26 Jul 2016 14:47:00 +0200;Escape Goat 2;[Arctice](http://twitch.tv/Arctice);PC;Any%;;;0:19:53;ESA 2016;3Fw1vj7GI9A
Mon 25 Jul 2016 10:14:00 +0200;F.D.N.Y. Firefighter;[bangerra](http://twitch.tv/bangerra), [oasiz____](http://twitch.tv/oasiz____);PC;Any%;Race;;0:36:41;ESA 2016;9Xzrc2CL3q0
Fri 29 Jul 2016 09:00:00 +0200;Fable: The Lost Chapters;[Etem_T](http://twitch.tv/Etem_T);PC;Any%;;;1:31:38;ESA 2016;wEIFJsAjB-Y
Fri 29 Jul 2016 21:44:00 +0200;Fallout 4;[BubblesDelFuego](http://twitch.tv/BubblesDelFuego);PC;Any%;;;1:06:50;ESA 2016;zcMSyKqKqaY
Mon 25 Jul 2016 15:14:00 +0200;FAST Racing NEO;[E_DragonGX](http://twitch.tv/E_DragonGX), [PreFiXAUT](http://twitch.tv/PreFiXAUT), [DivisionX_x](http://twitch.tv/DivisionX_x);Wii U;Time Attack;Race;;0:23:38;ESA 2016;DXj_blNoWYE
Tue 26 Jul 2016 16:17:00 +0200;Final Fantasy XII;[Freddeh](http://twitch.tv/Freddeh);PS2;Any%;;;6:49:54;ESA 2016;-3Fr0SH0V8o
Fri 29 Jul 2016 05:05:00 +0200;Freedom Planet;[SuccinctAndPunchy](http://twitch.tv/SuccinctAndPunchy);PC;Any% Lilac;;;0:48:34;ESA 2016;GRlwmdkW4bg
Wed 27 Jul 2016 19:28:00 +0200;Futurama;[Henneko_](http://twitch.tv/Henneko_);Xbox 360;Any%;;;1:17:03;ESA 2016;MhRoAvIzoWo
