Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Fri 23 Nov 2018 12:00:00 +0100;[Yoshi's Story](https://www.speedrun.com/Yoshis_Story#All_Melons_1-Lap);[LoveBot](https://www.twitch.tv/LoveBot);Wii VC;All Melons 1-Lap;;339579620;0:25:54;ESA 2018 - Movember
Fri 23 Nov 2018 12:33:00 +0100;[Risk of Rain](https://www.speedrun.com/ror);[Mekarazium](https://www.twitch.tv/mekarazium);PC;Any%;;339584493;0:14:16;ESA 2018 - Movember
Fri 23 Nov 2018 12:55:00 +0100;[Pokémon Randomizer](https://www.youtube.com/watch?v=0TXQGaiDaS4);[360Chrism](https://www.twitch.tv/360Chrism);PC;Any% Glitchless;;339613072;1:20:28;ESA 2018 - Movember
Fri 23 Nov 2018 14:25:00 +0100;[Pokémon Randomizer](https://www.youtube.com/watch?v=0TXQGaiDaS4);[360Chrism](https://www.twitch.tv/360Chrism);PC;Jack%;;339613072?t=01h24m31s;0:34:03;ESA 2018 - Movember
Fri 23 Nov 2018 14:59:00 +0100;[Crash Bandicoot: N. Sane Trilogy](https://www.speedrun.com/crashnst#Crash_Bandicoot_3_Warped);[Murcaz](https://www.twitch.tv/murcaz);PC;CB3 Warped Any%;;339630102;0:47:46;ESA 2018 - Movember
Fri 23 Nov 2018 16:06:00 +0100;[Need for Speed: Carbon](https://www.speedrun.com/nfsc#Career_Any);[fGeorjje](https://www.twitch.tv/fgeorjje);PC;Career Any% NG+;;339639494;0:12:41;ESA 2018 - Movember
Fri 23 Nov 2018 16:38:00 +0100;[Far Cry 3: Blood Dragon](https://www.speedrun.com/fc3bd);[MakkerDon](https://www.twitch.tv/makkerdon);PC;Any%;;339660332;0:51:42;ESA 2018 - Movember
Fri 23 Nov 2018 17:40:00 +0100;[The Witcher 3: Wild Hunt](https://www.speedrun.com/The_Witcher_3_Wild_Hunt#Blood_and_Wine);[triggerino1](https://www.twitch.tv/triggerino1);PC;Blood and Wine Any%;;339682509;0:47:52;ESA 2018 - Movember
Fri 23 Nov 2018 18:40:00 +0100;[Grand Theft Auto 2](https://www.speedrun.com/gta2/Residential#All_Missions);[Tezur0](https://www.twitch.tv/Tezur0);PC;All Missions (Residential);;339719470;1:08:26;ESA 2018 - Movember
Fri 23 Nov 2018 19:40:00 +0100;[Grand Theft Auto 2](https://www.speedrun.com/gta2/Residential#All_Missions);[Tezur0](https://www.twitch.tv/Tezur0);PC;All Wang Cars;;339719470?t=01h10m55s;0:06:40;ESA 2018 - Movember
Fri 23 Nov 2018 20:02:00 +0100;[Grand Theft Auto III](https://www.speedrun.com/gtaiii);[KZ_FREW](https://www.twitch.tv/kz_frew);PC;Any%;;339754778;1:10:56;ESA 2018 - Movember
Fri 23 Nov 2018 21:24:00 +0100;[Metal Gear Solid: Portable Ops](https://www.speedrun.com/mgspo);[Pythonicus](https://www.twitch.tv/Pythonicus);PSP;Any%;;339781810;0:52:00;ESA 2018 - Movember
Fri 23 Nov 2018 22:26:00 +0100;[James Bond 007: Nightfire](https://www.speedrun.com/007nf);[callmeliam](https://www.twitch.tv/callmeliam);GCN;Any%;;339801138;0:37:53;ESA 2018 - Movember
Fri 23 Nov 2018 23:18:00 +0100;[Dead Rising](https://www.speedrun.com/dr1#TimeSkip);[Ecdycis](https://www.twitch.tv/ecdycis);PC;Timeskip NG;;339819568;0:38:58;ESA 2018 - Movember
Sat 24 Nov 2018 00:05:00 +0100;[Jade Empire](https://www.speedrun.com/Jade_Empire);[English_Ben](https://www.twitch.tv/english_ben);PC;Any% Special Edition;;339871968;2:06:39;ESA 2018 - Movember
Sat 24 Nov 2018 02:22:00 +0100;[Animal Crossing](https://www.speedrun.com/ac);[Shape___](https://www.twitch.tv/shape___);GCN;All debts;;339892966;0:48:09;ESA 2018 - Movember
Sat 24 Nov 2018 03:29:00 +0100;[Splatoon](https://www.speedrun.com/splatoon1);[PeekingBoo](https://www.twitch.tv/peekingboo);Wii U;DancePad Any%;;339932978;1:19:53;ESA 2018 - Movember
Sat 24 Nov 2018 03:29:00 +0100;[Celeste];[PeekingBoo](https://www.twitch.tv/peekingboo);PC;DancePad Any%;;339932978?t=01h27m31s;0:18:48;ESA 2018 - Movember
Sat 24 Nov 2018 05:16:00 +0100;[Sonic the Hedgehog](https://www.speedrun.com/sonic1#Beat_the_Game);[SuperSonic71087](https://www.twitch.tv/SuperSonic71087);Genesis;Beat the Game - Glitchless;;339942611;0:22:34;ESA 2018 - Movember
