Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Tue 20 Feb 2018 15:20:00 +0100;[Pikmin 3](https://www.speedrun.com/pikmin3);[360Chrism](https://www.twitch.tv/360Chrism);Wii U;Any%;;230995824;0:59:16;ESA 2018 Winter
Tue 20 Feb 2018 16:30:00 +0100;[LittleBigPlanet](https://www.speedrun.com/lbp1);[KrossoTV](https://www.twitch.tv/krossotv);PS3;Any% No-Overlord;;231014292;1:09:12;ESA 2018 Winter
Tue 20 Feb 2018 17:50:00 +0100;[Legend of Zelda: Ocarina of Time](https://www.speedrun.com/oot#100);[Fuzzyness](https://www.twitch.tv/fuzzyness);Wii VC;100%;;231109742;5:07:07;ESA 2018 Winter
Tue 20 Feb 2018 23:00:00 +0100;[Final Fantasy](https://www.speedrun.com/ff1#GBA);[Metako](https://www.twitch.tv/metako);GBA;Any%;;231258831;3:03:41;ESA 2018 Winter
Wed 21 Feb 2018 02:40:00 +0100;[Shinrei Jusatsushi Taromaru](https://www.speedrun.com/shinrei_jusatsushi_taromaru);[GreenalinkSDA](https://www.twitch.tv/GreenalinkSDA);Sega Saturn;Beat the game as Enkai;;231237273;0:25:39;ESA 2018 Winter
Wed 21 Feb 2018 03:22:00 +0100;[Chakan: The Forever Man](https://www.speedrun.com/chakan_gamegear);[EdenalSDA](https://www.twitch.tv/edenalsda);Sega Game Gear;Any%;;231241039;0:08:43;ESA 2018 Winter
Wed 21 Feb 2018 03:47:00 +0100;[Streets of Rage 2](https://www.speedrun.com/sor2gg);[GreenalinkSDA](https://www.twitch.tv/GreenalinkSDA);Sega Game Gear;Beat the game as Axel - HARD;;231242397;0:27:01;ESA 2018 Winter
Wed 21 Feb 2018 04:15:00 +0100;[Batman]();[GreenalinkSDA](https://www.twitch.tv/GreenalinkSDA);Game Gear;Any%;;231243465;0:07:20;ESA 2018 Winter
Wed 21 Feb 2018 04:29:00 +0100;[Beyblade VForce: Ultimate Blader Jam](https://www.speedrun.com/Beyblade_VForce_Ultimate_Blader_Jam);[360Chrism](https://www.twitch.tv/360Chrism);GameBoy Player;Any%;;231244257;0:22:16;ESA 2018 Winter
Wed 21 Feb 2018 05:09:00 +0100;[Inspector Gadget: Mad Robots Invasion](https://www.speedrun.com/inspectorgadget_mri#Any);[zoton2](https://www.twitch.tv/zoton2);PS2;Any%;;231245568;1:00:56;ESA 2018 Winter
Wed 21 Feb 2018 06:19:00 +0100;[The Girl and the Robot](https://www.speedrun.com/tgatr);[PurkisM](https://www.twitch.tv/purkism);PC;Any% Current Patch;;231248318;0:19:06;ESA 2018 Winter
Wed 21 Feb 2018 06:59:00 +0100;[Q.U.B.E.](https://www.speedrun.com/qube);[eTholon](https://www.twitch.tv/etholon);PC;Any%;;231249257;0:30:07;ESA 2018 Winter
Wed 21 Feb 2018 07:32:00 +0100;[Braid](https://www.speedrun.com/Braid);[Kanban85](https://www.twitch.tv/kanban85);PC;Any%;;231250741;0:28:09;ESA 2018 Winter
Wed 21 Feb 2018 08:17:00 +0100;[Zineth](https://www.speedrun.com/zenith);[PurkisM](https://www.twitch.tv/purkism);PC;All Story Missions;;231252143;0:05:33;ESA 2018 Winter
Wed 21 Feb 2018 08:34:00 +0100;[Bully: Scholarship Edition](https://www.speedrun.com/Bully_Scholarship_Edition#All_Missions);[Truljin](https://www.twitch.tv/truljin);PC;All Missions;;231282416;4:05:58;ESA 2018 Winter
