Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Sat 21 Jul 2018 16:00:00 +0200;[Dark Souls III](https://www.speedrun.com/darksouls3#All_Bosses);[Fudgecow](https://www.twitch.tv/fudgecow)|[SayviTV](https://www.twitch.tv/SayviTV);PC;All Bosses;Race;287451296;1:49:21;ESA 2018 (Stream One)
Sat 21 Jul 2018 18:10:00 +0200;[God of War](https://www.speedrun.com/gow#Any_NG%2B);[ThaRixer](https://www.twitch.tv/ThaRixer);PS3;Any% (NG+);;287476916;1:23:12;ESA 2018 (Stream One)
Sat 21 Jul 2018 19:50:00 +0200;[Cuphead](https://www.speedrun.com/cuphead#All_Bosses);[Kirthar](https://www.twitch.tv/kirthar);PC;All Bosses (Regular, Legacy);;287496403;0:30:58;ESA 2018 (Stream One)
Sat 21 Jul 2018 20:35:00 +0200;[Super Mario Land 2: 6 Golden Coins](https://www.speedrun.com/sml2#Any_Glitchless);[Oh_DeeR](https://www.twitch.tv/Oh_DeeR)|[LateLearner](https://www.twitch.tv/LateLearner);SNES;Any% (Glitchless);Race;287520014;0:26:47;ESA 2018 (Stream One)
Sat 21 Jul 2018 21:15:00 +0200;[Gremlins 2: The New Batch](https://www.speedrun.com/gremlins2nes#Any);[EndySWE](https://www.twitch.tv/endyswe);NES;Any%;;287527442;0:09:22;ESA 2018 (Stream One)
Sat 21 Jul 2018 21:34:00 +0200;[Darkwing Duck](https://www.speedrun.com/dwd#Any);[TheMexicanRunner](https://www.twitch.tv/TheMexicanRunner)|[Jokaah](https://www.twitch.tv/jokaah);NES;Any%;Race;287535761;0:13:00;ESA 2018 (Stream One)
Sat 21 Jul 2018 21:59:00 +0200;[Castle of Illusion HD](https://www.speedrun.com/castle_of_illusion_hd#Any);[KrazyRasmus](https://www.twitch.tv/krazyrasmus);PC;Any%;;288738681;0:34:55;ESA 2018 (Stream One)
Sat 21 Jul 2018 22:49:00 +0200;[Hollow Knight](https://www.speedrun.com/hollowknight#Any);[Ushebti](https://www.twitch.tv/ushebti);PC;Any% (No Major Glitches);;287575488;0:44:30;ESA 2018 (Stream One)
Sat 21 Jul 2018 23:44:00 +0200;[Fable: The Lost Chapters](https://www.speedrun.com/fabletlc#100);[Etem](https://www.twitch.tv/Etem);PC;100%;;287650358;3:17:21;ESA 2018 (Stream One)
Sun 22 Jul 2018 03:39:00 +0200;[Ratchet & Clank](https://www.speedrun.com/rac1#All_Gold_Bolts);[Janky](https://www.twitch.tv/Janky);PS3;All Gold Bolts;;287673980;1:04:30;ESA 2018 (Stream One)
Sun 22 Jul 2018 05:09:00 +0200;[Warhammer 40,000: Dawn of War - Dark Crusade](https://www.speedrun.com/wh40kdowdc#All_strongholds);[TheLaughingMax](https://www.youtube.com/user/ZeldafreakNr2/featured);PC;All Strongholds (Necron);;287696876;1:03:54;ESA 2018 (Stream One)
Sun 22 Jul 2018 06:49:00 +0200;[Kingdom Hearts Dream Drop Distance HD](https://www.speedrun.com/khhdddd#Any_NG%2B);[RebelDragon95](https://www.twitch.tv/rebeldragon95);PS4;Any% (Beginner NG+);;287727190;2:07:41;ESA 2018 (Stream One)
Sun 22 Jul 2018 09:14:00 +0200;[Tony Hawk's American Wasteland](https://www.speedrun.com/thaw#Story_Mode);[English_Ben](https://www.twitch.tv/english_ben);PC;Story Mode (Normal);;287741197;1:13:29;ESA 2018 (Stream One)
Sun 22 Jul 2018 10:49:00 +0200;[Tomb Raider: Anniversary](https://www.speedrun.com/tra#Any);[Cadarev](https://www.twitch.tv/cadarev);PC;Any%;;287755666;0:27:32;ESA 2018 (Stream One)
Sun 22 Jul 2018 11:29:00 +0200;[El Matador](https://www.speedrun.com/El_Matador#Any);[catalystz](https://www.twitch.tv/catalystz)|[havrd](https://www.twitch.tv/havrd);PC;Any%;Race;287761315;0:18:45;ESA 2018 (Stream One)
Sun 22 Jul 2018 12:04:00 +0200;[Max Payne](https://www.speedrun.com/Max_Payne_GBA#Any);[tocaloni1](https://www.twitch.tv/tocaloni1);GBP;Any%;;287767264;0:23:17;ESA 2018 (Stream One)
Sun 22 Jul 2018 12:39:00 +0200;[Beyblade VForce: Ultimate Blader Jam](https://www.speedrun.com/Beyblade_VForce_Ultimate_Blader_Jam#Any);[lennart_underscore](https://www.twitch.tv/lennart_underscore);GBP;Any%;;287774320;0:20:43;ESA 2018 (Stream One)
Sun 22 Jul 2018 13:12:00 +0200;[Snake Pass](https://www.speedrun.com/Snake_Pass#NG%2B_Any);[Jetsa(akaFlotsa)](https://www.twitch.tv/flotsa);PC;Any% (NG+);;287785328;0:40:24;ESA 2018 (Stream One)
Sun 22 Jul 2018 14:07:00 +0200;[Pikmin 3](https://www.speedrun.com/pikmin3#Collect_Treasures);[360Chrism](https://www.twitch.tv/360Chrism);Wii U;Collect Treasures (No DLC);;287794015;0:28:39;ESA 2018 (Stream One)
Sun 22 Jul 2018 14:57:00 +0200;[ibb & obb](https://www.speedrun.com/ibb_and_obb#Coop_any);[emptysys](https://www.twitch.tv/emptysys)|[OsZ_](https://www.twitch.tv/osz_);PC;Any% (Co-Op);Co-Op;287802799;0:26:47;ESA 2018 (Stream One)
Sun 22 Jul 2018 15:37:00 +0200;[Dust: An Elysian Tail](https://www.speedrun.com/dust_aet#Any_Warps);[acridstingray3](https://www.twitch.tv/acridstingray3);PC;Any%;;287811127;0:20:07;ESA 2018 (Stream One)
Sun 22 Jul 2018 16:10:00 +0200;[Solstice: Quest for the Staff of Demnos](https://www.speedrun.com/Solstice_Quest_for_the_Staff_of_Demnos#Any);[Niss3](https://www.twitch.tv/Niss3);NES;Any%;;287817566;0:06:43;ESA 2018 (Stream One)
Sun 22 Jul 2018 16:30:00 +0200;[BattleBlock Theater](https://www.speedrun.com/BattleBlock_Theater#Any);[Paulister](https://www.twitch.tv/paulister)|[HaosEdge](https://www.twitch.tv/haosedge)|[SeductiveSpatula](https://www.twitch.tv/seductivespatula);PC;Any% (NLS);Co-Op;287849758;1:21:46;ESA 2018 (Stream One)
Sun 22 Jul 2018 18:06:00 +0200;[Ori and the Blind Forest Definitive Edition](https://www.speedrun.com/ori_de#All_Skills);[Jitaenow](https://www.twitch.tv/jitaenow);PC;All Cells (No Restrictions);;287888034;0:44:32;ESA 2018 (Stream One)
Sun 22 Jul 2018 19:16:00 +0200;[GeoGuessr](https://www.youtube.com/watch?v=aSwig8zZyCg);[havrd](https://www.twitch.tv/havrd)|[Janmumrik](https://www.twitch.tv/janmumrik);PC;Co-Op;Co-Op;288181656;0:28:41;ESA 2018 (Stream One)
Sun 22 Jul 2018 19:54:00 +0200;[Halo 3](https://www.speedrun.com/halo_coop#Halo_3);[Sorix](https://www.twitch.tv/tehsorix);Xbox 360;Legendary;;287928533;1:25:27;ESA 2018 (Stream One)
Sun 22 Jul 2018 21:35:00 +0200;[Daikatana](https://www.speedrun.com/Daikatana#Any_PC);[SphereMJ](https://www.twitch.tv/spheremj);PC;Any%;;287952414;0:51:00;ESA 2018 (Stream One)
Sun 22 Jul 2018 22:45:00 +0200;[Serious Sam: The First Encounter](https://www.speedrun.com/sstfe#Any);[Kykystas](https://www.twitch.tv/kykystas);PC;Any% (Tourist);;287973563;0:35:51;ESA 2018 (Stream One)
Sun 22 Jul 2018 23:40:00 +0200;[Doom: Scythe](https://www.speedrun.com/scythe#UV_Speed);[4shockblast](https://www.twitch.tv/4shockblast);PC;UV-Speed;;287981839;0:15:50;ESA 2018 (Stream One)
Mon 23 Jul 2018 00:05:00 +0200;[Outlast](https://www.speedrun.com/Outlast#Any);[catalystz](https://www.twitch.tv/catalystz);PC;Any%;;287988070;0:09:49;ESA 2018 (Stream One)
Mon 23 Jul 2018 00:22:00 +0200;[Amnesia: The Dark Descent](https://www.speedrun.com/tdd#Any);[RabzZ](https://www.twitch.tv/rabzz);PC;Any%;;288006493;0:30:06;ESA 2018 (Stream One)
Mon 23 Jul 2018 01:12:00 +0200;[S.T.A.L.K.E.R.: Shadow of Chernobyl](https://www.speedrun.com/shoc#All_Main_Missions);[antidotsrd](https://www.twitch.tv/antidotsrd);PC;All Main Missions;;288038081;1:21:57;ESA 2018 (Stream One)
Mon 23 Jul 2018 02:52:00 +0200;[Silent Hill 3](https://www.speedrun.com/sh3#New_Game);[Punchi](https://www.twitch.tv/Punchi);PC;NG (Easy);;288060745;0:55:39;ESA 2018 (Stream One)
Mon 23 Jul 2018 03:57:00 +0200;[Nioh](https://www.speedrun.com/nioh#All_Main_Missions_Vanilla);[AxelSaGo](https://www.twitch.tv/axelsago);PS4;All Main Missions Vanilla;;288096963;1:28:28;ESA 2018 (Stream One)
Mon 23 Jul 2018 05:57:00 +0200;[Horizon Zero Dawn](https://www.speedrun.com/hzd#Any_NG%2B);[ElkjaerTV](https://www.twitch.tv/ElkjaerTV);PS4;Any% (NG+ Ultra Hard);;288173675;2:08:18;ESA 2018 (Stream One)
Mon 23 Jul 2018 08:27:00 +0200;[Little Nightmares](https://www.speedrun.com/Little_Nightmares#Any);[Yajijy_](https://www.twitch.tv/yajijy_);PC;Any%;;288139516;0:44:53;ESA 2018 (Stream One)
Mon 23 Jul 2018 09:22:00 +0200;[Q.U.B.E. 2](https://www.speedrun.com/qube2#Any_No_Numpad-Skips);[Fatzke](https://www.twitch.tv/Fatzke)|[eTholon](https://www.twitch.tv/etholon);PC;Any% (No Numpad Skips);;288152901;1:09:53;ESA 2018 (Stream One)
Mon 23 Jul 2018 10:52:00 +0200;[Densha de D: Lightning Stage](https://www.speedrun.com/dddls#Any);[Jugachi](https://www.twitch.tv/Jugachi)|[Lordmau5](https://www.twitch.tv/Lordmau5);PC;Any%;Race;288160460;0:19:12;ESA 2018 (Stream One)
Mon 23 Jul 2018 11:32:00 +0200;[Need for Speed: Most Wanted (2005)](https://www.speedrun.com/nfsmw#Career_Any);[KuruHS](https://www.twitch.tv/kuruhs);PC;Any%;;288210669;4:09:56;ESA 2018 (Stream One)
Mon 23 Jul 2018 15:32:00 +0200;[Bionic Commando Rearmed](https://www.speedrun.com/bcr#any);[ViewtifulViktor](https://www.twitch.tv/ViewtifulViktor);PC;Any%;;288220207;0:20:01;ESA 2018 (Stream One)
Mon 23 Jul 2018 16:22:00 +0200;[Sonic the Hedgehog 2](https://www.speedrun.com/sonic2);[Oldclov](https://www.twitch.tv/oldclov)|[linkboss](https://www.twitch.tv/linkboss);Genesis;Any%;Race;288230416;0:22:29;ESA 2018 (Stream One)
Mon 23 Jul 2018 16:54:00 +0200;[Rot Gut](https://www.speedrun.com/rotgut);[Sajiki](https://www.twitch.tv/sajiki);PC;Any%;;288246443?t=15s;0:04:30;ESA 2018 (Stream One)
Mon 23 Jul 2018 17:25:00 +0200;[Mega Man 2](http://megamanleaderboards.net/index.php?game=2);[COOLKID](https://www.twitch.tv/coolkid)|[EndySWE](https://www.twitch.tv/endyswe);NES;Any% (Difficult);Race;288742142;0:27:35;ESA 2018 (Stream One)
Mon 23 Jul 2018 18:10:00 +0200;[Mega Man 5](https://megamanleaderboards.net/index.php?game=5);[Jokaah](https://www.twitch.tv/jokaah);NES;Any%;;288261148;0:35:55;ESA 2018 (Stream One)
Mon 23 Jul 2018 19:00:00 +0200;[Battletoads](https://www.speedrun.com/battletoads_nes#Any_No_WW);[TheMexicanRunner](https://www.twitch.tv/TheMexicanRunner);NES;Any% (No Wrong Warp);;288278512;0:15:30;ESA 2018 (Stream One)
