Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2020-07-24T14:45:00+02:00;Final Fantasy Adventure;[BOWIEtheHERO](https://www.twitch.tv/bowiethehero);GB;Any%;;;0:40:47;ESA 2020 Summer Online;BWyxd1tSE4c
2020-07-24T22:23:00+02:00;Super Mario Maker 2;[BigJon](https://www.twitch.tv/bigjon);Switch;Any% (Story Mode);;;2:01:40;ESA 2020 Summer Online;vDH-3hHko7I
2020-07-25T04:40:00+02:00;Viewtiful Joe;[Crab\_Milk\_Mickey](https://www.twitch.tv/crab_milk_mickey);Gamecube;Any% (Kids);;;0:35:26;ESA 2020 Summer Online;tCJCE_0BAvk
2020-07-25T14:30:00+02:00;Metal Gear Solid 4: Guns of the Patriot;[Jaguar_King](https://www.twitch.tv/jaguar_king);PS3;The Boss Extreme;;;2:05:01;ESA 2020 Summer Online;IaiqbmDmz74
2020-07-25T22:13:00+02:00;Dark Souls;[catalystz](https://www.twitch.tv/catalystz);PC;Any%;;;0:39:12;ESA 2020 Summer Online;O_A8RP3zerk
2020-07-26T05:49:00+02:00;Clock Tower 3;[DemonicRobots](https://www.twitch.tv/demonicrobots);PS2;Normal Mode;;;1:25:31;ESA 2020 Summer Online;Onxoo98RtlA
2020-07-27T01:44:00+02:00;Resident Evil 7 Biohazard;[moonrunesv2](https://www.twitch.tv/moonrunesv2);PC;NG+;;;1:31:28;ESA 2020 Summer Online;_2kTHiLNGFc
2020-07-27T12:11:00+02:00;Legacy of Kain: Defiance;[Mekarazium](https://www.twitch.tv/mekarazium);PC;Any%;;;0:24:52;ESA 2020 Summer Online;UZlWE5ellnQ
2020-07-27T19:47:00+02:00;Timeline;[havrd](https://www.twitch.tv/havrd);PC;Any%;;;0:24:02;ESA 2020 Summer Online;5XNMmD_GN9w
2020-07-27T23:30:00+02:00;New Super Lucky's Tale;[KingjO444](https://www.twitch.tv/kingjo444);Switch;Any%;;;1:06:34;ESA 2020 Summer Online;mCJrVmtfpqQ
2020-07-28T03:54:00+02:00;U.N. Squadron;[Sidarino](https://www.twitch.tv/sidarino);SNES;Any% Easy;;;0:18:36;ESA 2020 Summer Online;Dd7VMyWEk0g
2020-07-28T21:20:00+02:00;Wario Land 3;[ToreLehmann](https://www.twitch.tv/torelehmann);GBP;Any%;;;0:45:41;ESA 2020 Summer Online;-jm7VRDyMQ0
2020-07-29T02:54:00+02:00;Spongebob Squarepants: Battle For Bikini Bottom;[Jackalacka](https://www.twitch.tv/jackalacka);Xbox;Any%;;;0:53:56;ESA 2020 Summer Online;lVV-IPgXno0
2020-07-29T10:33:00+02:00;Super Mario Galaxy 2;[ShadowFrost](https://www.twitch.tv/shadowfrost);Wii U VC;Any%;;;3:13:32;ESA 2020 Summer Online;joKzlj3YdDA
2020-07-29T20:13:00+02:00;Yoshi's Story;[LoveBot](https://www.twitch.tv/lovebot);N64;Any% (JP);;;0:15:19;ESA 2020 Summer Online;k-bih2_ywKg
2020-07-30T01:25:00+02:00;Deus Ex: Mankind Divided;[Heinki](https://www.twitch.tv/heinki);PC;Any%;;;0:53:19;ESA 2020 Summer Online;iwV_QV2XhCI
2020-07-30T07:14:00+02:00;Saru Getchu: Saru Saru Daisakusen;[SRGTSilent](https://www.twitch.tv/srgtsilent);PSTV;Any%;;;0:51:18;ESA 2020 Summer Online;2VpygnSMzuE
2020-07-30T19:13:00+02:00;Powerpuff Girls: HIM and Seek;[frozenflygone](https://www.twitch.tv/frozenflygone);GBA;Any%;;;0:19:56;ESA 2020 Summer Online;-9gHeKm9zYY
2020-07-30T22:31:00+02:00;Final Fantasy Crystal Chronicles;[Neviutz](https://www.twitch.tv/neviutz);Gamecube;Any%;;;2:04:06;ESA 2020 Summer Online;pvgkuDBx3zE
2020-07-31T08:09:00+02:00;Golden Sun;[BOWIEtheHERO](https://www.twitch.tv/bowiethehero);GBA;Any% (No S&Q);;;3:53:09;ESA 2020 Summer Online;fe9GE0SaP6c
2020-07-31T17:18:00+02:00;Mario vs. Donkey Kong;[ViolinSR](https://www.twitch.tv/violinsr);Wii U VC;Any%;;;0:50:08;ESA 2020 Summer Online;Z4QMsiYf_Hw
2020-07-31T23:30:00+02:00;Diddy Kong Racing;[tridenttail](https://www.twitch.tv/tridenttail);N64;100%;;;1:48:32;ESA 2020 Summer Online;yVqiFUiU_7c
2020-08-01T05:59:00+02:00;Crypt of the NecroDancer: AMPLIFIED;[SpootyBiscuit](https://www.twitch.tv/spootybiscuit);PC;Coda (All Zones);;;0:18:00;ESA 2020 Summer Online;UrHDvzgxIao
2020-08-01T12:06:00+02:00;Pokémon Sword / Shield;[Retrotato](https://www.twitch.tv/retrotato);Switch;Trade Alt Main (Litten);;;4:28:43;ESA 2020 Summer Online;jf4npbzfYhg
2020-08-01T19:41:00+02:00;The Legend of Zelda: Twilight Princess;[Samura1man](https://www.twitch.tv/samura1man);Gamecube;All Fused Shadows;;;1:24:51;ESA 2020 Summer Online;wGIDr9MGsPQ
2020-08-02T02:27:00+02:00;Portal 2;[Msushi100](https://www.twitch.tv/msushi100);PC;Solo Co-Op;;;0:42:32;ESA 2020 Summer Online;RguAm5z7cTA
2020-08-02T08:56:00+02:00;Simon the Sorcerer;[Racooze](https://www.twitch.tv/racooze);PC;Any%;;;1:04:03;ESA 2020 Summer Online;0nLPcaz3lyY
2020-08-02T13:01:00+02:00;Mega Man: Wily Wars;[Jokaah](https://www.twitch.tv/jokaah);Genesis;Wily Tower;;;0:17:09;ESA 2020 Summer Online;WgKIp85Ij_s
2020-08-02T20:05:00+02:00;Super Mario 64;[Simply](https://www.twitch.tv/simply);N64;70 Star (Randomizer);;;1:06:22;ESA 2020 Summer Online;dYvSsB6PdLM
2020-07-24T15:37:00+02:00;Billy Hatcher and the Giant Egg;[Kyrrone](https://www.twitch.tv/kyrrone);Gamecube;Any%;;;1:08:03;ESA 2020 Summer Online;sTCIQ920Ge0
2020-07-25T00:45:00+02:00;New Super Mario Bros. 2;[Javi](https://www.twitch.tv/javi);Nintendo 3DS;Any%;;;0:30:25;ESA 2020 Summer Online;8XUneVa6Z7Y
2020-07-25T05:30:00+02:00;Devil May Cry 3: Special Edition;[Waifu](https://www.twitch.tv/waifu);PC;Any% (Normal);;;1:13:22;ESA 2020 Summer Online;VdXfdXDzFKw
2020-07-25T16:57:00+02:00;Valley;[TheRedSock](https://www.twitch.tv/theredsock);PC;All Suit Events;;;0:24:33;ESA 2020 Summer Online;O7OjuJ_yrhI
2020-07-25T23:00:00+02:00;Bloodborne;[Ahady](https://www.twitch.tv/ahady);PS4;All Bosses;;;1:16:00;ESA 2020 Summer Online;CBIq5ghS85A
2020-07-26T07:27:00+02:00;Layers of Fear;[Clendaria](https://www.twitch.tv/clendaria);PC;Any%;;;0:38:26;ESA 2020 Summer Online;2g8D6A9uo2M
2020-07-27T03:26:00+02:00;King's Quest: Mask of Eternity;[chuckgrody](https://www.twitch.tv/chuckgrody);PC;Any%;;;0:46:34;ESA 2020 Summer Online;buTduIp0_w0
2020-07-27T12:48:00+02:00;Final Fantasy XIII;[Kayarune](https://www.twitch.tv/kayarune);PC;Any%;;;4:51:04;ESA 2020 Summer Online;f7sMTMmYK0o
2020-07-27T20:24:00+02:00;Awful Havrd Games;[havrd](https://www.twitch.tv/havrd);PC;Showcase;;;0:56:14;ESA 2020 Summer Online;FMylpFRAJWs
2020-07-28T00:47:00+02:00;A Bug's Life;[plywood_](https://www.twitch.tv/plywood_);PSTV;Any%;;;0:22:44;ESA 2020 Summer Online;tfhqHxhNEk4
2020-07-28T04:24:00+02:00;Metal Gear Solid;[dlimes13](https://www.twitch.tv/dlimes13);PSTV;All Bosses (Easy);;;1:21:33;ESA 2020 Summer Online;HYShftf3qaY
2020-07-28T22:19:00+02:00;Super Mario World;[akistolol](https://www.twitch.tv/akistolol);SNES;96 Exit;;;1:24:32;ESA 2020 Summer Online;FMLQoPdDyvE
2020-07-29T04:01:00+02:00;Scooby-Doo! Night of 100 Frights;[Jaxler1](https://www.twitch.tv/jaxler1);Gamecube;Any%;;;0:26:17;ESA 2020 Summer Online;3CbkvW5b71s
2020-07-29T14:00:00+02:00;World to the West;[SeductiveSpatula](https://www.twitch.tv/seductivespatula);PC;Any%;;;0:36:00;ESA 2020 Summer Online;Wb54nb4cJZM
2020-07-29T20:39:00+02:00;Whipseey and the Lost Atlas;[MoD366](https://www.twitch.tv/mod366);PC;Any%;;;0:15:55;ESA 2020 Summer Online;9Mqxz8N-cG0
2020-07-30T02:27:00+02:00;The Outer Worlds;[NoobSalmon](https://www.twitch.tv/noobsalmon);PC;Any% (Sun Ending);;;0:15:17;ESA 2020 Summer Online;s4NxPCmIUUo
2020-07-30T08:18:00+02:00;Kingdom Hearts Final Mix;[ViolinSR](https://www.twitch.tv/violinsr);PS4;Any% (Beginner);;;2:13:11;ESA 2020 Summer Online;nKmm2Lm1mGw
2020-07-30T19:45:00+02:00;Shaq Fu;[CountGooby](https://www.twitch.tv/countgooby);SNES;Story Mode (Easy);;;0:08:20;ESA 2020 Summer Online;D1_dZ-vn-do
2020-07-31T00:48:00+02:00;Pokémon Black;[Cosmolax](https://www.twitch.tv/cosmolax);Nintendo DS;Any%;;;3:35:26;ESA 2020 Summer Online;bon-Z_DsOIY
2020-07-31T12:26:00+02:00;Tomb Raider : The Angel of Darkness;[Plastic_Rainbow](https://www.twitch.tv/plastic_rainbow);PC;Better Than Glitchless;;;0:51:30;ESA 2020 Summer Online;LQTPQEwqhbA
2020-07-31T18:15:00+02:00;Super Smash Bros. 64;[Bubzia](https://www.twitch.tv/bubzia);N64;Break the Target (All Characters, Blindfolded);;;0:08:41;ESA 2020 Summer Online;WS3zqibbG3g
