Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2021-07-23T22:30:00+02:00;Persona 5 (PRE-SHOW);[Neviutz](https://www.twitch.tv/neviutz);PlayStation 4;True Ending (Hard);;;15:39:07;ESA 2021 Summer;9-WVSx3cByM
2021-07-24T15:05:00+02:00;Alan Wake's American Nightmare;[TaintedTali](https://www.twitch.tv/TaintedTali);PC;Any% (New Game+);;;0:56:06;ESA 2021 Summer;gdVGxt6MFeU
2021-07-24T16:14:00+02:00;Grand Theft Auto III;[English_Ben](https://www.twitch.tv/english_ben);PC;Any%;;;1:16:54;ESA 2021 Summer;UwlvX_2Mjp8
2021-07-24T17:41:00+02:00;Bloodborne;[yarthow](https://www.twitch.tv/yarthow);PlayStation 4;All Bosses (Unrestricted);;;1:26:41;ESA 2021 Summer;By1TSa0FV6g
2021-07-24T19:23:00+02:00;Hyper Light Drifter;[CovertMuffin](https://www.twitch.tv/CovertMuffin);PC;All Modules (Alt, NMG);;;0:53:08;ESA 2021 Summer;nfvj7xF4358
2021-07-24T20:33:00+02:00;Minecraft;[TheeSizzler](https://www.twitch.tv/theesizzler);PC;Random Seed (Glitchless, 1.16+);;;0:42:59;ESA 2021 Summer;R2pViwALnj8
2021-07-24T21:15:00+02:00;Super Mario Bros. 3;[mitchflowerpower](https://www.twitch.tv/mitchflowerpower);NES;100%;;;1:10:37;ESA 2021 Summer;AGauKju2fg8
2021-07-24T22:34:00+02:00;Bowser's Fury;[Riekelt](https://www.twitch.tv/riekelt);Switch;100 Shines (No Amiibo);;;1:20:02;ESA 2021 Summer;lB8bKUHoC8k
2021-07-25T00:08:00+02:00;Sonic The Hedgehog 1 - 3: Shuffle Edition;[BigJon](https://www.twitch.tv/BigJon);Genesis;Any% (Glitchless);;;2:03:54;ESA 2021 Summer;VZ0sCMk7_ns
2021-07-25T04:22:00+02:00;Star Wars Jedi: Fallen Order;[cageking2](https://www.twitch.tv/cageking2);PC;Any%;;;1:45:46;ESA 2021 Summer;3x-J12eJrCs
2021-07-25T06:19:00+02:00;Spyro the Dragon: Reignited Trilogy;[toastedkat](https://www.twitch.tv/toastedkat);PC;120% (Spyro the Dragon);;;1:34:45;ESA 2021 Summer;HTJsJbf1wC4
2021-07-25T08:01:00+02:00;Tomba!;[raikou](https://www.twitch.tv/raikou);PlayStation;All Events;;;1:27:24;ESA 2021 Summer;_CVYAuFT4d0
2021-07-25T09:43:00+02:00;Saturn Bomberman;[heyitsperk](https://www.twitch.tv/heyitsperk);Saturn;Any% (Normal Mode);;;0:45:57;ESA 2021 Summer;_BXekw3vlVA
2021-07-25T11:13:00+02:00;Pokémon FireRed/LeafGreen;[Shiru](https://www.twitch.tv/shiru666);GBA;Elite 4 Round 2;;;4:02:19;ESA 2021 Summer;FgB4MerR_VY
2021-07-25T15:15:00+02:00;Magicland Dizzy;[TinyTim78](https://www.twitch.tv/TinyTim78);ZXSpectrum;Any%;;;0:28:30;ESA 2021 Summer;y5eDirXn_bI
2021-07-25T16:07:00+02:00;Dizzy: The Ultimate Cartoon Adventure;[DigitalDuck](https://www.twitch.tv/digitalduck);ZXSpectrum;Any%;;;0:18:46;ESA 2021 Summer;khgdIcAGCXA
2021-07-25T16:34:00+02:00;Shark Attack;[eerokurkisuo](https://www.twitch.tv/eerokurkisuo);Arcade;Score (72k Points);;;0:10:51;ESA 2021 Summer;i0myeQvk8ZQ
2021-07-25T16:51:00+02:00;Super Castlevania IV;[Tinnue](https://www.twitch.tv/Tinnue);SNES;Any%;;;0:36:38;ESA 2021 Summer;CfT3F7otIOU
2021-07-25T17:42:00+02:00;Mega Man 11;[amad__](https://www.twitch.tv/amad__);PC;Any% (Normal, No OoB);;;0:33:47;ESA 2021 Summer;VAxNr82BodM
2021-07-25T18:28:00+02:00;Dark Messiah of Might and Magic;Team Duncan vs. Team Percy;PC;Any% (Relay Race);;;0:37:32;ESA 2021 Summer;m2yElBVvXwM
2021-07-25T19:15:00+02:00;Deus Ex Human Revolution;[Heinki](https://www.twitch.tv/heinki);PC;Any%;;;0:51:39;ESA 2021 Summer;UBIBo7obGPY
