Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2021-02-12T16:00:00+01:00;Skies of Arcadia: Legends (PRE-SHOW);[Pengyy](https://www.twitch.tv/pengyy);Gamecube;100%;;;20:30:31;ESA 2021 Winter;-kkpqHycXTk
2021-02-13T19:03:00+01:00;I Wanna Be The Boshy;[BBF_](https://www.twitch.tv/BBF_);PC;Any% (Average, Dark Boshy, No Wrong Warp);;;0:34:21;ESA 2021 Winter;1M2oIGoL8Mg
2021-02-13T23:33:00+01:00;Hades;[MedicCasts](https://www.twitch.tv/MedicCasts);PC;3 Weapons;;;1:02:26;ESA 2021 Winter;JAJPo5XvTx8
2021-02-14T10:58:00+01:00;Wizkid: The Story of Wizball II;[Robo_Sparkle](https://www.twitch.tv/Robo_Sparkle);Amiga;Any%;;;0:44:46;ESA 2021 Winter;wkhqiZcxhoc
2021-02-14T13:01:00+01:00;Super Valis IV;[Tinnue](https://www.twitch.tv/Tinnue);SNES;Normal (JP);;;0:17:05;ESA 2021 Winter;igzIi-zw7Xg
2021-02-14T15:59:00+01:00;Sonic CD (2011);[flying_fox](https://www.twitch.tv/flying_fox);PC;Tails: All Good Futures;;;0:24:19;ESA 2021 Winter;fnjRr7hTTzk
2021-02-14T22:09:00+01:00;Furi;[chocbob](https://www.twitch.tv/chocbob) vs. [SombraCakes](https://www.twitch.tv/SombraCakes);PC;Speedrun Mode;;;0:34:04;ESA 2021 Winter;VboYxvkz9wU
2021-02-15T02:50:00+01:00;Dark Souls II: Scholar of the First Sin;[Nyk_Style](https://www.twitch.tv/Nyk_Style) vs. [JeffTheBigLizard](https://www.twitch.tv/JeffTheBigLizard);PC;Any%;;;1:02:36;ESA 2021 Winter;u0OjaZZQNCQ
2021-02-15T15:15:00+01:00;WARP;[SeductiveSpatula](https://www.twitch.tv/SeductiveSpatula);PC;Any%;;;0:19:54;ESA 2021 Winter;Igp8lEhfF80
2021-02-15T20:23:00+01:00;Fallout: New Vegas;[Akarion__](https://www.twitch.tv/Akarion__);PC;Glitchless;;;0:26:48;ESA 2021 Winter;Ca-nBhpzfbQ
2021-02-16T04:05:00+01:00;Metal Gear Solid V: Ground Zeroes;[OneCoolManXOF](https://www.twitch.tv/OneCoolManXOF);PC;NG+ (Stealth & No Kills);;;0:34:23;ESA 2021 Winter;45UoEPYOwo4
2021-02-16T15:13:00+01:00;Tempest of the Heavens and Earth;[Naro](https://www.twitch.tv/Naro);PC;Boss Attack;;;0:09:55;ESA 2021 Winter;KdkqCR4XpZ0
2021-02-17T07:15:00+01:00;Nioh;[Galasrinie](https://www.twitch.tv/Galasrinie);PC;All Main Missions (Vanilla);;;1:30:17;ESA 2021 Winter;Cq-6MONu_CY
2021-02-17T18:20:00+01:00;Harry Potter and the Prisoner of Azkaban;[Cynaschism](https://www.twitch.tv/Cynaschism);PC;100%;;;1:30:41;ESA 2021 Winter;VAi_Fgo4Kmc
2021-02-17T22:12:00+01:00;Krum - Edge of Darkness;[havrd](https://www.twitch.tv/havrd);PC;Any%;;;0:23:00;ESA 2021 Winter;Vcdi5TxYtBM
2021-02-18T04:12:00+01:00;Resident Evil 5;[Gidano](https://www.twitch.tv/Gidano)|[ThatAccountBlaBlaBla](https://www.twitch.tv/ThatAccountBlaBlaBla);PC;NG (Amateur, Co-op);;;1:41:16;ESA 2021 Winter;biQzNID6RLE
2021-02-18T12:54:00+01:00;Donkey Kong Country 2: Diddy's Kong Quest;[Niakky](https://www.twitch.tv/Niakky);Switch;Any%;;;0:44:29;ESA 2021 Winter;eRjyOPwxFOQ
