Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2023-07-23T12:00:00+02:00;We Love Katamari;[GreenSnowDog](https://twitch.tv/GreenSnowDog);PlayStation 2;Roll up the Sun (no Boost);;;1:11:40;ESA 2023 Summer (Two);aARFyM3P6Ts
2023-07-23T17:49:00+02:00;Hi-Fi RUSH;[christianroyle](https://twitch.tv/christianroyle);PC;Any%;;;2:16:21;ESA 2023 Summer (Two);AWxX8oNF_mY
2023-07-24T10:55:00+02:00;Small Soldiers;[epicdudeguy](https://twitch.tv/epicdudeguy);PlayStation;Any%;;;0:45:53;ESA 2023 Summer (Two);aQQgf4e0PDU
2023-07-24T15:32:00+02:00;Monster Party;[Bassguy](https://twitch.tv/Bassguy4);NES;Any%;;;0:17:29;ESA 2023 Summer (Two);qI35kxZ6X_Y
2023-07-24T19:38:00+02:00;Pokémon White 2;[TTS4life](https://twitch.tv/TTS4life);DS;Any%;;;3:18:28;ESA 2023 Summer (Two);0VDMY3nY_aQ
2023-07-26T11:30:00+02:00;Gremlins 2: The new Batch;[EndySWE](https://twitch.tv/endyswe);NES;Any%;;;0:12:45;ESA 2023 Summer (Two);ZCFoGFwbics
2023-07-26T16:14:00+02:00;Sammy Suricate in Lion Land;[PokerFacowaty](https://twitch.tv/PokerFacowaty);PC;No GTL Clips;;;0:18:04;ESA 2023 Summer (Two);mrqkq5fAk5U
2023-07-26T23:24:00+02:00;I Want;[Eeva](https://twitch.tv/Eeva_x);PC;Any%;;;0:51:19;ESA 2023 Summer (Two);rJzyH7ssVS4
2023-07-27T14:48:00+02:00;Enter the Matrix;[Olson](https://twitch.tv/Olson_lol);PC;Any% (Niobe);;;0:51:15;ESA 2023 Summer (Two);tjp-wP7pOkA
2023-07-28T21:43:00+02:00;Kena: Bridge of Spirits;[InsertLogic](https://twitch.tv/InsertLogicT);PC;Toshi's Relics;;;0:27:25;ESA 2023 Summer (Two);sJPyBdU4wWw
2023-07-29T12:45:00+02:00;Bad Guys At School;[sajiki](https://twitch.tv/sajiki);PC;All Missions;;;0:31:59;ESA 2023 Summer (Two);R85UDRM2B5w
2023-07-23T13:20:00+02:00;Evil Days of Luckless John;[Vojtas131](https://twitch.tv/Vojtas131);PC;Any%;;;0:48:51;ESA 2023 Summer (Two);DT5vLX7R8Cs
2023-07-23T20:29:00+02:00;Lil Gator Game;[RebelDragon95](https://twitch.tv/RebelDragon95);PC;Any%;;;0:16:39;ESA 2023 Summer (Two);tWKzj5Oc2_M
2023-07-24T11:55:00+02:00;Gemini: Heroes Reborn;[Cadarev](https://twitch.tv/Cadarev);PC;Any%;;;0:43:08;ESA 2023 Summer (Two);0ekfUrLrkz4
2023-07-24T16:07:00+02:00;Ghoul School;[JkL0ser](https://twitch.tv/JkL0ser);NES;Any%;;;0:09:41;ESA 2023 Summer (Two);PhuVZcG9N3w
2023-07-24T23:18:00+02:00;Crash Bandicoot 2: Cortex Strikes Back;[stuart0000](https://twitch.tv/stuart0000);PlayStation 2;100%;;;1:11:50;ESA 2023 Summer (Two);s2ZWLAUOfEM
2023-07-26T11:55:00+02:00;Maniac Mansion;[niss3](https://twitch.tv/niss3);NES;Any%;;;0:05:52;ESA 2023 Summer (Two);0dQCniOR1Zg
2023-07-26T16:54:00+02:00;Powerwash Simulator;[Jhay](https://twitch.tv/Jhay)|[nukiedog](https://twitch.tv/nukiedog);PC;All Land Vehicles;;;0:22:27;ESA 2023 Summer (Two);thHQG3qxpTw
2023-07-27T00:34:00+02:00;Resident Evil 3;[BigJon](https://twitch.tv/BigJon);PC;Any% (Randomizer);;;1:27:36;ESA 2023 Summer (Two);wJBOs48j8lM
2023-07-27T16:03:00+02:00;Driver 2;[the_surviv0r](https://twitch.tv/the_surviv0r);PC;Any% (REDRIVER 2, Warpless);;;1:24:16;ESA 2023 Summer (Two);DcmohFTER-k
2023-07-28T22:28:00+02:00;Distance;[Brionac95](https://twitch.tv/Brionac95);PC;Hardcore Maps (Showcase);;;0:47:12;ESA 2023 Summer (Two);7EJ2dt_6Buo
2023-07-29T13:30:00+02:00;Star Wars: Return of the Jedi;[Edenal](https://twitch.tv/edenalsda);SNES;Any%;;;0:42:05;ESA 2023 Summer (Two);fRQuHG-VbcY
2023-07-23T14:30:00+02:00;Subnautica;[salvner](https://twitch.tv/salvner);PC;Any%;;;0:42:14;ESA 2023 Summer (Two);-UEY_uCeFhs
2023-07-23T20:59:00+02:00;God of War: Ghost of Sparta;[SerSanju](https://twitch.tv/SerSanju);PlayStation 3;Any% (NG+);;;1:12:55;ESA 2023 Summer (Two);xIkNah4VV4s
2023-07-24T12:51:00+02:00;Star Trek: Armada;[Sphere](https://twitch.tv/Spheremj);PC;Federation Campaign;;;0:13:08;ESA 2023 Summer (Two);MXMAkMlEAMU
2023-07-24T16:27:00+02:00;The Adventures of Gilligan's Island;[MCAaronIce](https://twitch.tv/MCAaronIce);NES;Any%;;;0:30:37;ESA 2023 Summer (Two);Jca39PdDUOM
2023-07-25T00:51:00+02:00;Ratchet & Clank: Rift Apart;[DevilSnake74](https://twitch.tv/DevilSnake74);PlayStation 5;Any% (NG+, No GS);;;1:27:35;ESA 2023 Summer (Two);Tjn0HU1GAa0
2023-07-26T12:15:00+02:00;Streets of Rage;[SuperPlayer](https://twitch.tv/SuperPlayer02);Genesis;Any% (Glitchless, Blaze, Hardest);;;0:43:07;ESA 2023 Summer (Two);h9dzJrYxJaA
2023-07-26T17:44:00+02:00;Mario Kart Wii;[Rox](https://twitch.tv/Rox_);Wii;32 Tracks (Skips);;;1:24:17;ESA 2023 Summer (Two);grEh5Wymei4
2023-07-27T10:00:00+02:00;The Emperor's New Groove;[Zibang](https://twitch.tv/Zibangarang);PC;Any%;;;0:59:58;ESA 2023 Summer (Two);3S4g1LA_0fM
2023-07-27T17:38:00+02:00;Descent;[pho](https://twitch.tv/phozonn);PC;Any%;;;0:42:58;ESA 2023 Summer (Two);pDBABEMSwAk
2023-07-29T14:25:00+02:00;Deliver Us Mars;[Nikoheart](https://twitch.tv/Nikoheart);PC;Any%;;;1:58:42;ESA 2023 Summer (Two);1e0o0GkPjHY
2023-07-28T23:48:00+02:00;Toxic 2;[Maximum](https://twitch.tv/ItsMaximum);PC;Any%;;;0:09:04;ESA 2023 Summer (Two);giKDWanYNnU
2023-07-23T15:30:00+02:00;Ori and the Blind Forest;[Foopyo](https://twitch.tv/Foopyo);PC;Randomizer (Trees / Clues);;;0:41:48;ESA 2023 Summer (Two);0ZnDoTcsV0o
2023-07-23T22:24:00+02:00;Red Dead Redemption 2;[FreshRigi](https://twitch.tv/FreshRigi);PC;Chapter 5 (Guarma);;;0:56:21;ESA 2023 Summer (Two);Nla1WUJlLuc
2023-07-24T13:15:00+02:00;Yono and the Celestial Elephants;[Eris](https://twitch.tv/SpeedyEris);PC;No Major Skips;;;0:05:00;ESA 2023 Summer (Two);QWS1mAVhY3I
2023-07-24T17:23:00+02:00;Flicky;[thiagoch](https://twitch.tv/thiagoch);Genesis;Any%;;;0:17:38;ESA 2023 Summer (Two);W9WhOJp4zcs
2023-07-25T02:31:00+02:00;Dragon Age: Inquisition;[lemuura](https://twitch.tv/lemuura);PC;Any%;;;0:35:47;ESA 2023 Summer (Two);-9Ez_ZGYnDM
2023-07-26T13:24:00+02:00;Ikari III: The Rescue;[lucha_gym](https://twitch.tv/lucha_gym)|[JkL0ser](https://twitch.tv/JkL0ser);NES;Any%;;;0:15:25;ESA 2023 Summer (Two);A-iSyeM196A
2023-07-26T19:48:00+02:00;Jet Moto 2: Championship Edition;[Riko](https://twitch.tv/Riko_KSB);PlayStation 2;Full Season;;;0:30:40;ESA 2023 Summer (Two);r8Ps-RRtK4s
2023-07-27T11:15:00+02:00;Disney's 102 Dalmatians: Puppies to the Rescue;[jeakerek](https://twitch.tv/jeakerek);PlayStation 2;All Levels (OoB);;;0:22:00;ESA 2023 Summer (Two);PRUVkwR3_6s
2023-07-27T18:33:00+02:00;Pokémon Emerald;[360chrism](https://twitch.tv/360chrism);GBA;Map Randomizer;;;1:22:44;ESA 2023 Summer (Two);pAUhAgIojb0
