Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2023-02-20T12:00:00+01:00;Evoland;[HabKeineName](https://www.twitch.tv/HabKeineName);PC;Any%;;;0:32:14;ESA 2023 Winter (Two);YRo4bD6iCYI
2023-02-21T10:00:00+01:00;Prince of Persia: The Sands of Time;[7eraser7](https://www.twitch.tv/7eraser7);GBA;Any% (No Zombie Glitch);;;0:48:07;ESA 2023 Winter (Two);1unIvgKW2BU
2023-02-21T14:53:00+01:00;LEGO The Hobbit;[captainpaxo6746](https://www.twitch.tv/captainpaxo6746);PC;Any% (N0CUT5);;;0:14:20;ESA 2023 Winter (Two);NBQ2a2ECqsM
2023-02-22T12:40:00+01:00;Red Dead Redemption: Undead Nightmare;[FreshRigi](https://www.twitch.tv/FreshRigi);XboxOneX;Any%;;;1:01:31;ESA 2023 Winter (Two);KmEFu52L2R4
2023-02-23T10:00:00+01:00;Spiritfarer;[tricrow](https://www.twitch.tv/tricrow);PC;Gwen;;;0:56:39;ESA 2023 Winter (Two);gRnz3n1mVaY
2023-02-23T16:26:00+01:00;FOX n FORESTS;[MoD366](https://www.twitch.tv/MoD366);PC;Any% (Easy);;;0:44:14;ESA 2023 Winter (Two);qRcbKQHcvc8
2023-02-24T10:00:00+01:00;Pokémon Brilliant Diamond;[Furyst](https://www.twitch.tv/Furyst);Switch;Elite 4 Round 3;;;5:10:18;ESA 2023 Winter (Two);Y3HaW50WkC0
2023-02-24T19:33:00+01:00;Grand Theft Auto 2;[Tezur0](https://www.twitch.tv/tezur0);PC;All Tokens;;;1:17:33;ESA 2023 Winter (Two);ky3qUsnx_ds
2023-02-20T12:50:00+01:00;Hotshot Racing;[ViperUK](https://www.twitch.tv/ViperRaces);PC;Normal (GP 1-4);;;0:41:02;ESA 2023 Winter (Two);9cFPPynbTCI
2023-02-21T11:07:00+01:00;Magicland Dizzy;[TinyTim78](https://www.twitch.tv/TinyTim78);ZXSpectrum;Any%;;;0:22:07;ESA 2023 Winter (Two);ZRYsh_R2UMo
2023-02-21T15:23:00+01:00;Plants vs. Zombies;[oneeyeddeacon](https://www.twitch.tv/oneeyeddeacon);PC;Any%;;;3:31:08;ESA 2023 Winter (Two);2NPtq4ASLls
2023-02-22T13:55:00+01:00;Steelrising;[NicowithaC](https://www.twitch.tv/NicowithaC);PC;Any% (Unrestricted);;;0:42:30;ESA 2023 Winter (Two);9ILlYO2mKts
2023-02-23T11:10:00+01:00;Muramasa: The Demon Blade;[Cadarev](https://www.twitch.tv/Cadarev);PlayStation TV;Any% (Momohime);;;1:27:29;ESA 2023 Winter (Two);WrRQR9VBJ9A
2023-02-23T17:24:00+01:00;Dust: An Elysian Tail;[Murtag](https://www.twitch.tv/tarumurtag);PC;Any% (w/ Warps);;;0:19:33;ESA 2023 Winter (Two);DwgIOC2E9BA
2023-02-24T15:30:00+01:00;Crash Bandicoot N.Sane Trilogy;[Murcaz](https://www.twitch.tv/murcaz);PC;Crash 3 (Reverse Warp Order);;;0:48:59;ESA 2023 Winter (Two);d34i4laRj2M
2023-02-24T20:58:00+01:00;Ape Escape 3;[Riekelt](https://www.twitch.tv/riekelt);PlayStation 3;Survival Mode;;;1:59:24;ESA 2023 Winter (Two);lfnQuQWYLYw
2023-02-20T13:45:00+01:00;Robo Army;[Riekelt](https://www.twitch.tv/riekelt);Switch;Any%;;;0:23:46;ESA 2023 Winter (Two);ocnSdhbJ3a0
2023-02-21T11:42:00+01:00;Contra: Hard Corps;[Greenalink](https://www.twitch.tv/Greenalink);Genesis;Browny Lab / Surrender Route (JPN);;;0:18:19;ESA 2023 Winter (Two);_u2JvebyDDk
2023-02-21T19:18:00+01:00;Streets of Rage 4;[SuperPlayer](https://www.twitch.tv/superplayer02);Switch;Any% (Cherry, Easy);;;0:50:39;ESA 2023 Winter (Two);w-MRkoILubU
2023-02-22T14:50:00+01:00;Hades;[Ya-GG](https://www.twitch.tv/yajijy);PC;50 Heat (Unseeded, Unmodded);;;1:05:21;ESA 2023 Winter (Two);z_cPXxq9ud0
2023-02-23T12:55:00+01:00;MechCommander Gold;[happycamper](https://www.twitch.tv/happycamper);PC;Any% (Regular, Expansion);;;0:47:55;ESA 2023 Winter (Two);E4Z0mXdpBMg
2023-02-23T17:54:00+01:00;YuuYuu Jiteki No Yuukarin;[Naro](https://www.twitch.tv/naro);PC;Any% (Picnic);;;1:24:36;ESA 2023 Winter (Two);HgoSzhaq2pk
2023-02-24T16:32:00+01:00;Rise of the Tomb Raider;[Cadarev](https://www.twitch.tv/Cadarev);PC;Any%;;;1:05:37;ESA 2023 Winter (Two);BLd1M141gZk
2023-02-24T23:14:00+01:00;Resident Evil (1996);[SHiiDO](https://www.twitch.tv/xSHiiDOx);PC;100% (Chris, Knife Only, NMG);;;0:47:55;ESA 2023 Winter (Two);o6EGrB_2Wqo
2023-02-20T14:21:00+01:00;Crash Bandicoot N. Sane Trilogy;[Alaapo](https://www.twitch.tv/Alaapo);PC;Any% (Crash 2);;;0:48:09;ESA 2023 Winter (Two);GYuvv4DLalg
2023-02-21T12:13:00+01:00;Sonic The Hedgehog 3;[huds601](https://www.twitch.tv/huds601);Genesis;NG+ (Sonic, Glitchless);;;0:25:56;ESA 2023 Winter (Two);BNyBZyWEusQ
2023-02-21T20:23:00+01:00;Astral Chain;[herreteman](https://www.twitch.tv/herreteman);Switch;Any% (No Abilities);;;2:47:05;ESA 2023 Winter (Two);S1NppTxur4I
2023-02-22T16:15:00+01:00;Dragon Quest XI S;[sylwer](https://www.twitch.tv/sylwer);PC;True Ending;;;5:27:55;ESA 2023 Winter (Two);C4M7dE2-uuU
2023-02-23T14:10:00+01:00;No Time To Explain Remastered;[WarDrums](https://www.twitch.tv/WarDrumsGaming);PC;100%;;;0:36:28;ESA 2023 Winter (Two);AVPeT0Q5b0c
2023-02-23T19:39:00+01:00;World of Final Fantasy;[HabKeineName](https://www.twitch.tv/HabKeineName);PC;Any%;;;3:20:01;ESA 2023 Winter (Two);2XGOriv4yk0
2023-02-24T17:52:00+01:00;Underworld Ascendant;[hippienator](https://www.twitch.tv/hippienator);PC;Any%;;;0:13:58;ESA 2023 Winter (Two);TSF81sNgp5M
2023-02-25T10:00:00+01:00;Xenoblade Chronicles 2: Torna - The Golden Country;[vaxherd](https://www.twitch.tv/vaxherd);Switch;Any% (Glitchless);;;2:57:24;ESA 2023 Winter (Two);X1mZptZsiLU
2023-02-20T15:21:00+01:00;Superliminal;[hippienator](https://www.twitch.tv/hippienator);PC;Glitchless;;;0:23:43;ESA 2023 Winter (Two);r04vz6vR3M0
2023-02-21T12:53:00+01:00;Mega Man;[TempestMask1000](https://www.twitch.tv/TempestMask1000);GameGear;Any%;;;0:28:00;ESA 2023 Winter (Two);8rIgl9YevWU
2023-02-21T23:21:00+01:00;XIII;[Davdus](https://www.twitch.tv/Davdus);PC;Any%;;;1:29:44;ESA 2023 Winter (Two);CJwlMezupiI
2023-02-22T22:10:00+01:00;Jet Force Gemini;[Serenmew](https://www.twitch.tv/Serenmew);N64;Mizar 1;;;1:30:31;ESA 2023 Winter (Two);N5lG9fnhKrU
2023-02-23T14:58:00+01:00;TUNIC;[SunnymuffinSR](https://www.twitch.tv/SunnymuffinSR);PC;True Ending;;;0:47:56;ESA 2023 Winter (Two);BzpkRRAo6os
2023-02-23T23:19:00+01:00;Smarties: Meltdown;[GreenSnowDog](https://www.twitch.tv/GreenSnowDog);PlayStation 2;All Sectors ;;;0:45:09;ESA 2023 Winter (Two);I9VkIHNwycs
2023-02-25T13:10:00+01:00;Sonic 3D in 2D;[Argick](https://www.twitch.tv/argick)|[huds601](https://www.twitch.tv/huds601);PC;All Emeralds;;;0:55:55;ESA 2023 Winter (Two);tlyu-TPzh4M
2023-02-20T15:56:00+01:00;Super Mario Odyssey;[TiloTech](https://www.twitch.tv/TiloTech)|[Dansta2106](https://www.twitch.tv/dansta2106);Switch;All Moons;;;7:49:05;ESA 2023 Winter (Two);wMqKD4yO1Po
2023-02-21T13:38:00+01:00;Azure Striker Gunvolt 3;[Greenalink](https://www.twitch.tv/Greenalink);PC;Kirin (Low Gunvolt usage);;;1:00:27;ESA 2023 Winter (Two);xJbT8-5j2yc
2023-02-22T10:00:00+01:00;Yu-Gi-Oh! Forbidden Memories;[drwurstpeter](https://www.twitch.tv/drwurstpeter);PlayStation;Any% (15-card, No RNG Manip);;;2:29:44;ESA 2023 Winter (Two);Sk9H8FSCBeQ
2023-02-23T00:00:00+01:00;Ys Seven;[bramhallthefifth](https://www.twitch.tv/bramhallthefifth);PC;Any% (Easy, Turbo);;;1:03:58;ESA 2023 Winter (Two);tuvmNEPcXcg
2023-02-23T15:48:00+01:00;Gato Roboto;[KillerChair](https://www.twitch.tv/KillerChair);PC;Any% (Unrestricted);;;0:26:08;ESA 2023 Winter (Two);U3ANC3YwDog
2023-02-24T00:09:00+01:00;Frog Detective 3: Corruption At Cowboy County;[KinzyKenzie](https://www.twitch.tv/KinzyKenzie);PC;Any%;;;0:35:21;ESA 2023 Winter (Two);H4h8en0tNO0
2023-02-24T19:03:00+01:00;tERRORbane;[Lordmau5](https://www.twitch.tv/Lordmau5);PC;Any%;;;0:17:20;ESA 2023 Winter (Two);TlVPDPEsgAk
