video_id,game,layout,estimate,slow_time,slow_conf,fast_time,verdict,agree,frames,colours,clip_bytes,seconds,why,error
xWmTFxOmXPQ,League of Legends,16x9-1p,0:20:00,0:17:13,high,0:17:13,accept,6,6,"{""stopped"": 6}",3090440,6.3,,
FrMeLapJh6o,Like A Dragon Gaiden: The Man Who Erased His Name,16x9-1p,1:35:00,1:30:48,high,1:30:48,accept,6,6,"{""stopped"": 6}",1303557,7.0,,
tqo5wMS3wL4,The Elder Scrolls V: Skyrim + Glitch Exhibition,16x9-1p,2:02:00,1:55:43,high,1:55:43,accept,6,6,"{""stopped"": 6}",6165481,9.1,,
j8yDIeWV9gg,Mega Man X7,16x9-1p,1:30:00,1:14:28,high,1:14:28,check,5,6,"{""stopped"": 6}",1423252,7.0,"frames disagree ([4468.0, 36868.0])",
iVaV9XszVzY,Indiana Jones and the Great Circle,16x9-1p,1:25:00,1:24:04,high,1:24:04,accept,6,6,"{""stopped"": 6}",1122334,8.2,,
adyYHQY8FYc,HROT,16x9-1p,0:57:00,0:53:52,high,0:53:52,accept,6,6,"{""stopped"": 6}",1002474,5.8,,
U95Yi1hdrJc,Dragon Quest XI S,16x9-1p,5:30:00,5:41:21,high,5:41:21,check,4,6,"{""stopped"": 6}",5577105,9.4,"frames disagree ([20481.0, 56481.0])",
SAJsyAms2Ek,Ocarina of Time in Minecraft,16x9-1p,1:50:00,1:43:20,high,1:43:20,accept,6,6,"{""stopped"": 6}",1494224,5.5,,
Y_fGvAu33E4,Metaphor: ReFantazio (Part 2),16x9-1p,3:15:00,2:58:01,high,2:58:01,check,5,6,"{""stopped"": 6}",2532185,9.6,"frames disagree ([10681.0, 46681.0])",
OE0JLFiwHBo,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,16x9-1p,1:30:00,1:26:45,high,1:26:45,check,5,6,"{""stopped"": 6}",1731382,8.9,"frames disagree ([5205.0, 41205.0])",
u6hZMdAFxJY,Deus Ex: Invisible War,16x9-1p,0:36:00,0:32:13,high,0:32:13,accept,6,6,"{""stopped"": 6}",4119654,8.0,,
q0s-HmPCT9I,Rocky (2002),16x9-1p,0:50:00,0:45:03,high,0:45:03,accept,6,6,"{""stopped"": 6}",3252949,7.3,,
0qnwQex2zbw,Need For Speed: Carbon,16x9-1p,2:00:00,1:54:18,high,1:54:18,check,4,6,"{""stopped"": 6}",1955082,7.2,"frames disagree ([6858.0, 42858.0])",
azQE7zyek0w,No Time To Explain Remastered,16x9-1p,0:25:00,0:23:07,high,0:23:07,accept,6,6,"{""stopped"": 6}",4310991,6.6,,
yZCtqX9RUTI,VVVVVV,16x9-1p,0:18:00,0:13:53,high,0:13:53,accept,6,6,"{""stopped"": 6}",3993313,8.1,,
Bira_G128KM,Hitman: Blood Money,16x9-1p,0:45:00,0:43:45,high,0:43:45,accept,6,6,"{""stopped"": 6}",2149334,10.6,,
FZvEv8yjBtY,Clair Obscur: Expedition 33,16x9-1p,2:20:00,2:24:53,high,2:24:53,accept,6,6,"{""stopped"": 6}",3123137,7.1,,
c549HSg6r2o,Dishonored + Honored,16x9-1p,0:28:00,0:25:15,high,0:25:15,check,5,6,"{""stopped"": 5, ""running"": 1}",2512699,6.8,"frames disagree ([1509.0, 1515.0]); the clock is green in only 5 of 6 frames",
kt6YrQUNj8s,Jak and Daxter: The Precursor Legacy,4x3-1p,0:50:00,0:29:07,high,0:29:07,check,4,6,"{""stopped"": 6}",2833951,9.5,"frames disagree ([1747.0, 37747.0])",
u3vHLY33Q4g,The Simpsons: Bartman Meets Radioactive Man,4x3-1p,0:21:00,0:18:38,high,0:18:38,accept,6,6,"{""stopped"": 6}",3391486,7.8,,
GF5eNjoyazM,Street Boyz,4x3-1p,0:35:00,0:29:53,high,0:29:53,check,5,6,"{""stopped"": 6}",1804416,7.5,"frames disagree ([1793.0, 37793.0])",
BfG8kboiaNQ,Mort the Chicken,4x3-1p,0:31:00,0:32:39,high,0:32:39,accept,6,6,"{""stopped"": 6}",2684496,7.4,,
uStpbDllXDI,Yu-Gi-Oh! Forbidden Memories,4x3-1p,2:45:00,3:29:01,high,3:29:01,accept,6,6,"{""stopped"": 6}",2229040,7.8,,
GiiVY3FJFxM,Streets of Rage 2,4x3-1p,0:55:00,0:43:20,high,0:43:20,accept,6,6,"{""stopped"": 6}",3557078,8.2,,
cCtsnJ3bhy0,Deadstorm Pirates,4x3-1p,0:30:00,0:35:57,high,0:35:57,accept,6,6,"{""stopped"": 6}",2151891,7.1,,
gIkLxGZndvc,Wacky Races,4x3-1p,0:23:00,0:20:29,high,0:20:29,accept,6,6,"{""stopped"": 6}",3324957,10.0,,
qGSMSA-9DyI,Home Alone 2,4x3-1p,0:20:00,0:09:20,high,0:09:20,accept,6,6,"{""stopped"": 6}",1592904,7.6,,
JIea25-rcuI,Looney Tunes Racing,4x3-1p,0:40:00,0:31:35,high,0:31:35,accept,6,6,"{""stopped"": 6}",1227278,7.1,,
WK-97tjIz-g,Secret Agent Clank,4x3-1p,0:18:00,0:17:13,high,0:17:13,accept,6,6,"{""stopped"": 6}",4377678,19.8,,
3vU2rLwzMgM,Spider-Man (2000),4x3-1p,0:30:00,0:27:13,high,0:27:13,check,5,6,"{""stopped"": 6}",2411692,9.2,"frames disagree ([1633.0, 37633.0])",
eV4yKKDp5sg,Looney Tunes: Space Race,4x3-1p,1:35:00,1:29:35,high,1:29:35,accept,6,6,"{""stopped"": 6}",1552659,6.8,,
RvVjJsH9c9s,Dare to Dream,4x3-1p,0:30:00,0:16:28,high,0:16:28,accept,6,6,"{""stopped"": 6}",1450485,14.0,,
v9cW2iZTj3o,Adventure of Bayou Billy,4x3-1p,0:25:00,0:23:12,high,0:23:12,accept,6,6,"{""stopped"": 6}",1614443,7.2,,
iGFS6pkmoQI,Mighty Final Fight,4x3-1p,0:18:00,0:16:00,high,0:16:00,check,4,6,"{""stopped"": 4, ""running"": 2}",1616238,10.4,"frames disagree ([947.0, 956.0, 960.0]); the clock is green in only 4 of 6 frames",
-c3CPPjiwVc,Rugrats: Adventures in Gameland,4x3-1p,0:12:00,0:19:24,high,0:19:24,check,3,6,"{""stopped"": 3, ""running"": 3}",5471515,8.5,"frames disagree ([1142.0, 1152.0, 1162.0, 1164.0]); the clock is green in only 3 of 6 frames",
zt80Xv7Ji5w,Spacegulls,4x3-1p,0:11:00,0:09:13,high,0:09:13,check,5,6,"{""stopped"": 5, ""running"": 1}",2539077,12.1,"frames disagree ([550.0, 553.0]); the clock is green in only 5 of 6 frames",
_tgVXFeQk18,Super Mario Bros. 3,4x3-1p,1:00:00,0:04:11,reject,0:04:11,check,5,6,"{""stopped"": 5, ""running"": 1}",2220237,11.2,"frames disagree ([249.0, 251.0]); the clock is green in only 5 of 6 frames",
Ojw8U4me4EA,Vib-Ribbon,4x3-1p,0:20:00,0:20:00,medium,0:16:39,accept,6,6,"{""stopped"": 6}",6686060,6.6,,
PRbL3gSaSWg,QuizBOSH Extravaganza,16x9-1p,2:00:00,2:12:28,high,,reject,0,6,"{""none"": 6}",2488578,17.1,nothing timer-shaped in the pinned region,
ry-HgNxCysM,Final Fantasy IX,4x3-1p,23:59:59,11:59:16,medium,11:58:57,reject,1,6,"{""running"": 6}",2386140,8.4,"frames disagree ([43107.0, 43117.0, 43127.0, 43137.0, 43147.0, 43157.0]); the clock is not green in any frame: it never stopped on camera",
