slug,game,video_id,layout,players,estimate
2025-summer1,Jak and Daxter: The Precursor Legacy,kt6YrQUNj8s,4x3-1p,Sir_Jazzberry,3000
2025-summer1,Star Wars Jedi Knight: Jedi Academy,mXhGUq6K4Vk,16x9-1p,Laay,2400
2025-summer1,Halo: Reach,l01Pu8dOZTI,16x9-2p,"Seclusive, Sorix",5100
2025-summer1,League of Legends,xWmTFxOmXPQ,16x9-1p,AEtienne,1200
2025-summer1,Halo Infinite,_scTYuGX7RU,16x9-1p,caitbot,4620
2025-summer1,Sly 2: Band of Thieves,_0wZniSVBrc,16x9-1p,Slysonic,2100
2025-summer1,Borderlands 2,xSDQQIKILMU,16x9-2p,"Oggyerino, yisk",6600
2025-summer1,Pokémon Red,Qhtxtq48EVI,GB-1p,AEtienne,7200
2025-summer1,Paper Mario,2EZU3DovY_c,4x3-1p,JakeBopDart,8100
2025-summer1,Like A Dragon Gaiden: The Man Who Erased His Name,FrMeLapJh6o,16x9-1p,RebelDragon95,5700
2025-summer1,Jazzpunk,awjEG-rzwwM,16x9-1p,UselessBrit,1800
2025-summer1,Hades,m5xQjkUQuPk,16x9-1p,OckE,4800
2025-summer1,Skeleton Krew,l6R-JRTqz0E,4x3-1p,Joka,1200
2025-summer1,Snake Rattle 'n' Roll,S6j_KWIS5rg,4x3-1p,Dxtr,1080
2025-summer1,Contra,bUxWRxJ5YdM,,TypicalFantasyX,900
2025-summer1,The Simpsons: Bartman Meets Radioactive Man,u3vHLY33Q4g,4x3-1p,ApolloSmug,1260
2025-summer1,Data Man,yCZh6qXRJqs,4x3-2p,"Niss3, Fleke",1200
2025-summer1,Battletoads & Double Dragon,W9CMjYbtgOc,4x3-2p,"sYn, TypicalFantasyX",2100
2025-summer1,Tiny Toon Adventures,DAIX-SnENWI,4x3-1p,hirexen,1020
2025-summer1,Run Saber,Tc8qI-loMKE,4x3-2p,"sYn, TypicalFantasyX",1500
2025-summer1,Pilotwings,KCfPbuRW2-M,4x3-1p,Lucha_Gym,2100
2025-summer1,Metaphor: ReFantazio (Part 1),H9YeP6gP5aI,16x9-1p,Neviutz,11400
2025-summer1,The Elder Scrolls V: Skyrim + Glitch Exhibition,tqo5wMS3wL4,16x9-1p,pekkanen,7320
2025-summer1,Mort the Chicken,BfG8kboiaNQ,4x3-1p,SpaceLozzyCF,1860
2025-summer1,Crash Tag Team Racing,VSs27-8qCPQ,4x3-1p,hypnoshark,2400
2025-summer1,Super Metroid,Yd8EXjI3jb4,4x3-1p,DarkXoa,2820
2025-summer1,Uncharted 2: Among Thieves,wp460dP77SQ,16x9-1p,Shemp,8400
2025-summer1,Star Trek: Voyager - Elite Force,tbf8fEgn2JA,16x9-1p,Sphere,3300
2025-summer1,Resident Evil 5,8-xelsGZkCc,16x9-2p,"YatogamiNL, Smaclosa",1200
2025-summer1,Resident Evil 5,1Tor0x1MAu4,16x9-2p,"YatogamiNL, Smaclosa",7200
2025-summer1,Spyro 2: Ripto's Rage!,ivFOnyIOpn0,,DylanJayFox,1200
2025-summer1,Mega Man X7,j8yDIeWV9gg,16x9-1p,YatogamiNL,5400
2025-summer1,Golden Sun: The Lost Age,IQduicfdvh4,GB-1p,Neomatamune,9900
2025-summer1,Hollow Knight,VMWP2Uj0ntY,16x9-1p,azere,5400
2025-summer1,The Ratchet & Clank Trilogy,LamiIdFziBk,4x3-3p,"pentali, robo, Torrbullen",4500
2025-summer1,Mario Kart Wii,kZ1Ljl9jBGo,4x3-1p,Karhuma,4800
2025-summer1,Indiana Jones and the Great Circle,iVaV9XszVzY,16x9-1p,83kY,5100
2025-summer1,Final Fantasy VII,k5IA8jkJivk,4x3-1p,Zheal,21600
2025-summer1,Paper Mario: The Thousand Year Door,CNeb8BvpBXk,4x3-3p,"Alw0, JakeBopDart, Hackedia",10800
2025-summer1,Dragon Quest XI S,U95Yi1hdrJc,16x9-1p,sylwer,19800
2025-summer1,Harry Potter and the Chamber of Secrets,1zamczKmNtc,4x3-1p,5mon,6300
2025-summer1,Evergate,LPAhZHBe3_k,16x9-1p,SunnymuffinSR,2400
2025-summer1,Streets of Rage 2,GiiVY3FJFxM,4x3-1p,misternyanta,3300
2025-summer1,Super Mario Bros. 3,_tgVXFeQk18,4x3-1p,Rh4kor,3600
2025-summer1,Kingdom Hearts II,k0Pm51_UZ98,16x9-2p,MrMizzow vs. Staratar,9600
