video_id,game,layout,estimate,slow_time,slow_conf,scheduled,why
xWmTFxOmXPQ,League of Legends,16x9-1p,0:20:00,0:17:13,high,2025-06-28T17:40:00+02:00,
FrMeLapJh6o,Like A Dragon Gaiden: The Man Who Erased His Name,16x9-1p,1:35:00,1:30:48,high,2025-06-29T03:27:00+02:00,
tqo5wMS3wL4,The Elder Scrolls V: Skyrim + Glitch Exhibition,16x9-1p,2:02:00,1:55:43,high,2025-06-29T16:13:00+02:00,
j8yDIeWV9gg,Mega Man X7,16x9-1p,1:30:00,1:14:28,high,2025-06-30T03:48:00+02:00,
iVaV9XszVzY,Indiana Jones and the Great Circle,16x9-1p,1:25:00,1:24:04,high,2025-06-30T13:23:00+02:00,
adyYHQY8FYc,HROT,16x9-1p,0:57:00,0:53:52,high,2025-06-30T18:38:00+02:00,
U95Yi1hdrJc,Dragon Quest XI S,16x9-1p,5:30:00,5:41:21,high,2025-07-01T00:33:00+02:00,
SAJsyAms2Ek,Ocarina of Time in Minecraft,16x9-1p,1:50:00,1:43:20,high,2025-07-01T16:58:00+02:00,
Y_fGvAu33E4,Metaphor: ReFantazio (Part 2),16x9-1p,3:15:00,2:58:01,high,2025-07-02T00:34:00+02:00,
OE0JLFiwHBo,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,16x9-1p,1:30:00,1:26:45,high,2025-07-02T08:19:00+02:00,
u6hZMdAFxJY,Deus Ex: Invisible War,16x9-1p,0:36:00,0:32:13,high,2025-07-02T10:54:00+02:00,
q0s-HmPCT9I,Rocky (2002),16x9-1p,0:50:00,0:45:03,high,2025-07-02T15:05:00+02:00,
0qnwQex2zbw,Need For Speed: Carbon,16x9-1p,2:00:00,1:54:18,high,2025-07-02T22:30:00+02:00,
azQE7zyek0w,No Time To Explain Remastered,16x9-1p,0:25:00,0:23:07,high,2025-07-03T07:30:00+02:00,
yZCtqX9RUTI,VVVVVV,16x9-1p,0:18:00,0:13:53,high,2025-07-03T10:58:00+02:00,
Bira_G128KM,Hitman: Blood Money,16x9-1p,0:45:00,0:43:45,high,2025-07-03T17:22:00+02:00,
FZvEv8yjBtY,Clair Obscur: Expedition 33,16x9-1p,2:20:00,2:24:53,high,2025-07-03T20:47:00+02:00,
c549HSg6r2o,Dishonored + Honored,16x9-1p,0:28:00,0:25:15,high,2025-07-04T03:37:00+02:00,
kt6YrQUNj8s,Jak and Daxter: The Precursor Legacy,4x3-1p,0:50:00,0:29:07,high,2025-06-28T14:00:00+02:00,
u3vHLY33Q4g,The Simpsons: Bartman Meets Radioactive Man,4x3-1p,0:21:00,0:18:38,high,2025-06-29T09:00:00+02:00,
GF5eNjoyazM,Street Boyz,4x3-1p,0:35:00,0:29:53,high,2025-06-29T14:00:00+02:00,
BfG8kboiaNQ,Mort the Chicken,4x3-1p,0:31:00,0:32:39,high,2025-06-29T18:30:00+02:00,
uStpbDllXDI,Yu-Gi-Oh! Forbidden Memories,4x3-1p,2:45:00,3:29:01,high,2025-06-29T21:03:00+02:00,
GiiVY3FJFxM,Streets of Rage 2,4x3-1p,0:55:00,0:43:20,high,2025-07-01T09:13:00+02:00,
cCtsnJ3bhy0,Deadstorm Pirates,4x3-1p,0:30:00,0:35:57,high,2025-07-01T17:25:00+02:00,
gIkLxGZndvc,Wacky Races,4x3-1p,0:23:00,0:20:29,high,2025-07-02T11:40:00+02:00,
qGSMSA-9DyI,Home Alone 2,4x3-1p,0:20:00,0:09:20,high,2025-07-02T13:38:00+02:00,
JIea25-rcuI,Looney Tunes Racing,4x3-1p,0:40:00,0:31:35,high,2025-07-03T00:45:00+02:00,
WK-97tjIz-g,Secret Agent Clank,4x3-1p,0:18:00,0:17:13,high,2025-07-03T08:10:00+02:00,
3vU2rLwzMgM,Spider-Man (2000),4x3-1p,0:30:00,0:27:13,high,2025-07-03T13:07:00+02:00,
eV4yKKDp5sg,Looney Tunes: Space Race,4x3-1p,1:35:00,1:29:35,high,2025-07-03T16:22:00+02:00,
RvVjJsH9c9s,Dare to Dream,4x3-1p,0:30:00,0:16:28,high,2025-07-03T19:42:00+02:00,
v9cW2iZTj3o,Adventure of Bayou Billy,4x3-1p,0:25:00,0:23:12,high,2025-07-04T11:30:00+02:00,
iGFS6pkmoQI,Mighty Final Fight,4x3-1p,0:18:00,0:16:00,high,2025-07-04T13:37:00+02:00,
-c3CPPjiwVc,Rugrats: Adventures in Gameland,4x3-1p,0:12:00,0:19:24,high,2025-07-04T15:38:00+02:00,
zt80Xv7Ji5w,Spacegulls,4x3-1p,0:11:00,0:09:13,high,2025-07-04T17:50:00+02:00,
_tgVXFeQk18,Super Mario Bros. 3,4x3-1p,1:00:00,0:04:11,reject,2025-07-01T10:23:00+02:00,SMB3 - tail holds a bonus run
Ojw8U4me4EA,Vib-Ribbon,4x3-1p,0:20:00,0:20:00,medium,2025-07-04T20:36:00+02:00,Vib-Ribbon - slow path read the estimate
PRbL3gSaSWg,QuizBOSH Extravaganza,16x9-1p,2:00:00,2:12:28,high,2025-07-05T16:01:00+02:00,QuizBOSH - the one 1p crop that is not at the common position
ry-HgNxCysM,Final Fantasy IX,4x3-1p,23:59:59,11:59:16,medium,2025-07-04T09:00:00+02:00,Final Fantasy IX - part 1 of a cumulative multi-part VOD
