# What resolve picks for every row of horaro's 2024-summer out of
# esa-summer-2024-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #45).
uuid,game,category,video_id,tier,title
2384ba2e-ae42-4087-b816-355c2365ea8e,The Worlds Hardest Game,Any% (Flash),JttkrJBP-k4,tag-game-runner,The Worlds Hardest Game [Any% (Flash)] by hsblue - #ESASummer24
c02f15db-f889-43dc-8eda-6b549709a1d2,Ratchet & Clank: Into The Nexus,NG+,J6KShJ5Iofs,tag-game-runner,Ratchet & Clank: Into The Nexus [NG+] by synn1_ - #ESASummer24
bf38d306-0363-4bc7-ba3f-40a8b3cc36e1,Ratchet & Clank,All Gold Bolts,udq4sqL17p0,tag-game-runner,Ratchet & Clank [All Gold Bolts] by SNEEPYY and xem92 - #ESASummer24
675c449e-b7d6-449b-b3ea-466b09c1815c,Prince of  Persia: The Sands of Time,Any% Zipless,IaoJse_EWuU,tag-game-runner,Prince of  Persia: The Sands of Time [Any% Zipless] by epicdudeguy - #ESASummer24
68edae89-6eb6-455e-83fc-d185df8b0abb,Prodeus,Any% (no zips/boosts),QqOH-_qIjNs,weak,Golden Sun [Any% No Save & Quit] by Plexa - #ESASummer24
cd811b96-c1e0-4c3b-a9ff-03db15fffe3d,Metal Gear Rising: Revengeance,Any% (NG+),Txgn4AMNmhc,tag-game-runner,Metal Gear Rising: Revengeance [Any% (NG+)] by Diagongdx - #ESASummer24
4feaf049-93f7-4f82-94b0-0742b5940ee9,Super Mario Odyssey,World Peace,CWIA7Zp13yA,weak,Super Mario 64 [70 star 70 player relay] - #ESASummer24
7ce950da-2b97-4e27-8876-2cbdc20b59a9,Pokémon Platinum,Any%,6EhGNLR7izI,tag-game-runner,Pokémon Platinum [Any%] by linewashere and Rubentus - #ESASummer24
bc3c8523-a96b-4de1-903e-264e16ac6ec7,End of day 1,,ihKfreAoBso,weak,Mega Man 2 Relay Race (any%) - #ESASummer24
118a910c-4c84-4662-8289-ba32bfbdd9b3,Rosenkreuzstilette Freudenstachel,Any%,19KZySThS6c,tag-game-runner,Rosenkreuzstilette Freudenstachel [Any%] by Hypah - #ESASummer24
2d8b93b0-cf0a-475a-b0ed-7c904f2c27b6,Hitman: Blood Money,Showcase,ALKx55LTaxg,tag-game-runner,Hitman: Blood Money [Showcase] by TheKotti - #ESASummer24
8b0e322b-5904-4b21-b1f7-61212a9e280a,"King's Quest VI: Heir Today, Gone Tomorrow",Any%,DqfHsgqB_2o,tag-game,"King's Quest VI: Heir Today, Gone Tomorrow [Any%] by Joka - #ESASummer24"
9a5aa182-547d-4fb9-9d3e-9e402cda9d3e,Rod Land,Any% Co-op,KNzg5Ie1cxA,tag-game-runner,Rod Land [Any% Co-op] by Niss3 and JkL0ser - #ESASummer24
67fa2a34-841f-4fe1-b5c8-c0f9b0162565,Space Quest II: Vohaul's Revenge,Any% No Cheat,DyRIgbQIpgA,tag-game,Space Quest II: Vohaul's Revenge [Any% No Cheat] by Joka - #ESASummer24
054bf11a-a0c1-4c60-a251-f8898aff6e11,Vice: Project Doom,any%,36HYPJ7oDj0,weak,Sonic Robo Blast 2 [Sonic Any%] by Lemin and Refrag - #ESASummer24
510a0975-1220-4172-9210-05721ff47488,Kabuki Quantum Fighter,any%,VgcIqsAj8dw,tag-game-runner,Kabuki Quantum Fighter [any%] by bassguy4 - #ESASummer24
ee10f2e6-8cba-4835-92ee-f14ca71d68d9,Snake Rattle n Roll,Any% (2 Player),OsEOd1lIBo8,weak,Quake: Arcane Dimensions [Easy Run (Top Floor)] by Sphere - #ESASummer24
7098e7f9-4dcc-42e5-9e70-b1b7bd6a9758,Streemerz,any%,0ZP4RO2YRpg,tag-game-runner,Streemerz [any%] by bassguy4 - #ESASummer24
96659abe-2436-4a32-b2cc-5810352b6067,Super C,Any%,hFt8yFEIrqY,tag-game-runner,Super C [Any%] by TypicalFantasyX - #ESASummer24
911888e9-970d-43ae-b007-5d7a9f52e3fe,Super Mario Bros. 2,All Powerup Mushrooms,rvjz_C22tBo,tag-game-runner,Super Mario Bros. 2 [All Powerup Mushrooms] by Lui - #ESASummer24
85c338b5-468b-4c90-bf36-3a3938b7ff1d,Slightly Magic,Complete the Game (Single Run),XWBusbTNss8,tag-game-runner,Slightly Magic [Complete the game] by tinytim78 - #ESASummer24
891e36ca-495f-494b-989d-0c0e109cf2ee,Streets of Rage 4,"Arcade (Cherry, Easy)",F6ZCStZNGsA,weak,Street Boyz [NG+ All Stages] by RebelDragon95 - #ESASummer24
32bd157c-0ecb-40f3-847c-6ca3999fc3f5,Mega Man 5,Any%,oP6PwIF6MVA,tag-game-runner,Mega Man 5 [Any%] by prisiii3 - #ESASummer24
f1de7db9-2d35-409f-8f00-11cd7b1e635e,Super Pitfall,Any%,hFt8yFEIrqY,weak,Super C [Any%] by TypicalFantasyX - #ESASummer24
e4c2061f-29c3-4b82-b6a9-2e1598de1ca2,NHL '94,10 Goals,62U92N8WDDc,weak,Half-Life 1 [WON Scriptless] by HuthTV - #ESASummer24
7bec98d8-1102-4ade-b075-753231c60c42,Sonic Robo Blast 2,Sonic Any%,36HYPJ7oDj0,tag-game-runner,Sonic Robo Blast 2 [Sonic Any%] by Lemin and Refrag - #ESASummer24
a6ec9ce5-04de-4476-9196-b08bf767e5b2,LEGO Harry Potter: The Battle for Hogwarts,Any%,mYy4lj0h64A,tag-game-runner,LEGO Harry Potter: The Battle for Hogwarts [Any%] by Oggyerino - #ESASummer24
3586de42-cdf2-412f-865c-12f877475e5b,SCED-02417 Demo Disc,All Games,_Bfr5vF-4DY,tag-game-runner,SCED-02417 Demo Disc [All Games] by ThaRixer - #ESASummer24
4c1b7987-5b8c-456b-aa93-1afea7557009,Dissidia Final Fantasy,Any% Controller Swap,h1i2PucdP7k,tag-game-runner,Dissidia Final Fantasy [Any%] by Mizzow and staratar - #ESASummer24
8f79e28f-9a59-4841-8cce-0b023238ab20,Darkest Dungeon,Crowd Control,iIBqEzFNjHI,tag-game-runner,Darkest Dungeon [Crowd Control] by Aeshmah_ - #ESASummer24
ca180cb1-469f-467d-bfee-e9f6acea8887,Jak and Daxter: The Precursor Legacy (TeamRuns),Co-op No LTS (Same Level),97oPRXB93n4,tag-game,Jak and Daxter: The Precursor Legacy (TeamRuns) [Co-op No LTS (Same Level)] - #ESASummer24
7db41172-a31e-493f-b194-272b9a6034ec,Old School Runescape,OSRS Bingo,AhbNMAJbpK8,tag-game-runner,Old School Runescape [OSRS Bingo] by GiantClam and DaanSmoki - #ESASummer24
2834d5ff-a52b-4c7a-a8ec-9d4438843015,End of day 2,,AbTU-SkUW_A,weak,Unreal: Return to Na Pali [Any%] by Myths - #ESASummer24
66d06777-dc9b-4361-a23b-14a1639c5552,Kingdom Hearts Birth by Sleep Final Mix HD,Ventus Critical Level 1 Any%,BGKq1ZuuYe0,tag-game,Kingdom Hearts Birth by Sleep Final Mix HD [Ventus Critical Level 1 Any%] - #ESASummer24
50f842c5-dbd4-41b6-b5b2-063dc1d7100d,Pseudoregalia,All Abilities (No OOB) Full Gold Patch,ge0PS_9BjAo,weak,Soul of the Samurai [Any% True Ending] by vojtas131 and Aeshmah_ - #ESASummer24
c2602cf6-a5d9-46fa-a489-0a6b8c42073b,ICEY,NG+ Judas Ending,tZwzq66luvA,tag-game-runner,ICEY [NG+ Judas Ending] by AEtienne - #ESASummer24
c3812253-13ab-46ca-a79a-7e054b414173,South Park: Snow Day!,All Chapters,68GEfP2Cm4g,tag-game-runner,"South Park: Snow Day! [All Chapters] by texan_red_wolf, SweedOla and Streetbackguy - #ESASummer24"
dfd3d535-9b37-4c5d-8a62-7a07591b6901,Star Wars Battlefront II (Classic 2005),Any% with bonuses,AelbzXvpEio,tag-game-runner,Star Wars Battlefront II (Classic 2005) [Any% with bonuses] by CaptainEmu - #ESASummer24
b59e278b-a243-4bb7-9760-c9c176139cb3,Paris Marseille Racing,2P1C,aQBrWgR0_RQ,tag-game-runner,Paris Marseille Racing [2P1C] by Shigan_ and linkboss - #ESASummer24
f2378d43-59b0-4a70-a7a5-bc99c5a0aa76,Diddy Kong Racing,Any%,AzE0N0kRDGY,tag-game-runner,Diddy Kong Racing [Any%] by MrPonytale - #ESASummer24
cf0de08e-7590-4cd5-a8a9-fa499907aa82,Tom Clancy's Splinter Cell: Pandora Tomorrow,Any%,Uc6G3ZEFZvo,tag-game-runner,Tom Clancy's Splinter Cell: Pandora Tomorrow [Any%] by DirectorMusic - #ESASummer24
ac974107-3c6c-454b-b1cf-ac989dbf2cc4,Star Wars Jedi: Survivor,Any% Restricted NG+,AelbzXvpEio,weak,Star Wars Battlefront II (Classic 2005) [Any% with bonuses] by CaptainEmu - #ESASummer24
4dea92c2-ec42-4639-b562-a732f957469c,Super Mario Bros. 3,100% Coop,rhTqDa2sSWY,tag-game-runner,Super Mario Bros. 3 [100% Coop] by Lui and AliceHK8 - #ESASummer24
3b788e68-e890-41f7-88d4-c04138292d85,NES Shuffler Race,Donation Shuffler,tC8InjrMkyc,tag-game,NES Shuffler Race [Donation Shuffler] - #ESASummer24
083e5efd-2aaa-4f00-bbcc-b9701fe4c62a,Golden Sun,Any% No Save & Quit,QqOH-_qIjNs,tag-game-runner,Golden Sun [Any% No Save & Quit] by Plexa - #ESASummer24
42781e1b-031c-4cdd-b108-1f3a04c75b45,Spider-Man (2000),Any% (Easy),mIovER1AOCo,tag-game-runner,Spider-Man (2000) [Any% (Easy)] by Shemp - #ESASummer24
2c5fab83-cf4c-4c03-859e-783dde5541c8,Spyro the Dragon,Any%,y2TubEju-PA,tag-game-runner,Spyro the Dragon [Any%] by lumilaura - #ESASummer24
3a8add59-9064-4f14-8b52-b30911ef0612,Spyro 2: Ripto's Rage,14 Talisman,PvxfQqpG8oA,tag-game-runner,Spyro 2: Ripto's Rage [14 Talisman] by DylanJayFox - #ESASummer24
e4cf8957-64f4-4174-9895-893d242d0732,End of day 3,,ihKfreAoBso,weak,Mega Man 2 Relay Race (any%) - #ESASummer24
ade80595-7b98-4a1c-97d7-5043bb97ca2a,Bad Guys at School,All Missions,CTdEp3i3p2k,tag-game-runner,Bad Guys at School [All Missions] by lurven_ - #ESASummer24
b31a8e8c-1aeb-4533-88f4-0b9488296bb8,Street Boyz,NG+ All Stages,F6ZCStZNGsA,tag-game-runner,Street Boyz [NG+ All Stages] by RebelDragon95 - #ESASummer24
bebc4203-ac98-42fc-84cc-4d0eab7c0ada,Skull Island: Rise of Kong,All bosses,ZZrr7M3RSYA,tag-game-runner,Skull Island: Rise of Kong [All bosses] by SweedOla - #ESASummer24
6cf3e2cb-1ab9-41bb-83d2-f0909015911d,Shadow Warrior 3,Any%,Bn9VOnpMEO8,tag-game-runner,Shadow Warrior 3 [Any%] by 83kY - #ESASummer24
af77c1c8-7ad2-4839-8991-f2beacc94647,Oni,any% easy,m7e-DVQSe1Q,tag-game-runner,Oni [Any% Easy] by Original_Baum - #ESASummer24
f423c312-c44d-4091-a5e4-593effb31388,Pokémon Crystal,Manipless,ilvQH_T5oNw,tag-game-runner,Pokémon Crystal [Manipless] by AEtienne - #ESASummer24
8bede08b-a73b-4c81-874c-bd0588ad993c,Quake: Arcane Dimensions,Easy Run (Top Floor),OsEOd1lIBo8,tag-game-runner,Quake: Arcane Dimensions [Easy Run (Top Floor)] by Sphere - #ESASummer24
52855026-3e41-4dde-80ee-49077ddb3f3f,Flash Game Gauntlet,Any%?,ZFohcJPMJag,tag-game,Flash Game Gauntlet [Any%?] - #ESASummer24
db4d7843-77ee-445d-af5e-12f1687ebc7f,The Neverhood,Cutscene%,y2TubEju-PA,weak,Spyro the Dragon [Any%] by lumilaura - #ESASummer24
6b2ae4a9-e303-41bc-a904-a252720701e3,Ocarina of Time in Minecraft 1.0.1,any%,MV-2HflPXKs,weak,The Legend of Zelda Ocarina of Time Beta Quest [Battleship Bingo] by BaalNocturno - #ESASummer24
0e81493a-7117-4979-a21e-bf5e473740f9,The Legend of Zelda Ocarina of Time Beta Quest,Battleship Bingo,MV-2HflPXKs,tag-game-runner,The Legend of Zelda Ocarina of Time Beta Quest [Battleship Bingo] by BaalNocturno - #ESASummer24
e125a214-3c77-4ce8-b5a7-34570c9b43e8,Elden Ring,2 Player 1 Controller Any% Randomizer,aCz27Ql7scA,tag-game-runner,Elden Ring [2 Player 1 Controller Any% Randomizer] by catalystz and Puppery - #ESASummer24
53ab1de3-7250-4cbd-87c6-bd8e7e20703f,End of day 4,,ihKfreAoBso,weak,Mega Man 2 Relay Race (any%) - #ESASummer24
