# Every result of one `yt-dlp ytsearch400:#ESASummer24`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
vs1ZMebVkH4,22348,Grand Theft Auto: San Andreas [Any% No Major Glitches] by Joshimuz - #ESASummer24
_Bfr5vF-4DY,3345,SCED-02417 Demo Disc [All Games] by ThaRixer - #ESASummer24
IaoJse_EWuU,5991,Prince of  Persia: The Sands of Time [Any% Zipless] by epicdudeguy - #ESASummer24
Txgn4AMNmhc,3889,Metal Gear Rising: Revengeance [Any% (NG+)] by Diagongdx - #ESASummer24
2KbjjWjNc5g,2749,Cuphead [DLC + Base Game Any%] by Kirthar - #ESASummer24
5hNPNBd6phQ,1712,Beep's Escape [Complete the Game] by TinyTim78 - #ESASummer24
tC8InjrMkyc,3727,NES Shuffler Race [Donation Shuffler] - #ESASummer24
2vc5vZRpqDU,1624,Karnov [Any%] by hirexen - #ESASummer24
m7e-DVQSe1Q,1381,Oni [Any% Easy] by Original_Baum - #ESASummer24
PvxfQqpG8oA,3221,Spyro 2: Ripto's Rage [14 Talisman] by DylanJayFox - #ESASummer24
y2TubEju-PA,2520,Spyro the Dragon [Any%] by lumilaura - #ESASummer24
Iwr48SYp85g,412,Takeshi's Challenge [Any%] by lucha_gym - #ESASummer24
iIBqEzFNjHI,7576,Darkest Dungeon [Crowd Control] by Aeshmah_ - #ESASummer24
Uc6G3ZEFZvo,3055,Tom Clancy's Splinter Cell: Pandora Tomorrow [Any%] by DirectorMusic - #ESASummer24
2fzHC0r_YyU,2445,Vengeful Guardian: Moonrider [Beat the game] by Kirthar - #ESASummer24
49Upou1Rttg,1345,Teenage Mutant Ninja Turtles [Any%] by NilssonAlex92 - #ESASummer24
CWIA7Zp13yA,7051,Super Mario 64 [70 star 70 player relay] - #ESASummer24
SOwgfdpgASo,1129,Lemma [any%] by Drunkenshoe - #ESASummer24
YqGEcWyd-R4,773,Chip 'N Dale: Rescue Rangers [Any%] by hirexen and EndySWE - #ESASummer24
2irX30c1vi4,4333,Super Mario Sunshine [1vs.1 Lockout Bingo] by peaches and RSW - #ESASummer24
3NN2EI1H_70,2552,Metroid Deep Freeze [100%] by Xoneris - #ESASummer24
AelbzXvpEio,3527,Star Wars Battlefront II (Classic 2005) [Any% with bonuses] by CaptainEmu - #ESASummer24
oP6PwIF6MVA,2369,Mega Man 5 [Any%] by prisiii3 - #ESASummer24
jlEPGj-t0Ug,1249,Nova the Squirrel [Any%] by Polari - #ESASummer24
qFgLRgbAfwc,1035,Panic Restaurant [Any%] by Laxxus and hirexen - #ESASummer24
tK4Kt8Kudnc,1569,Little Nemo: The Dream Master [English] by thebagler5 - #ESASummer24
AbTU-SkUW_A,1344,Unreal: Return to Na Pali [Any%] by Myths - #ESASummer24
jPJOZqYFYUQ,1345,Black Hills Flood: The Dam Wasn't the Disaster
I67m66Xc54s,2495,Mega Man X1 [100%] by StahlbolzenSC2 - #ESASummer24
ZFohcJPMJag,5985,Flash Game Gauntlet [Any%?] - #ESASummer24
xW22D-DLpdA,259,The Indie Dev Meetup at ESA Summer 24 | RPG Devlog 8
XV1yWa1kyFw,4896,"Colin McRae Rally 2.0 [Championship (Novice, Standard Cars)] by Cousin - #ESASummer24"
19KZySThS6c,1956,Rosenkreuzstilette Freudenstachel [Any%] by Hypah - #ESASummer24
62U92N8WDDc,2107,Half-Life 1 [WON Scriptless] by HuthTV - #ESASummer24
LHoVA_JNLT0,646,Home Alone 2 [Any%] by ScarfaceNico - #ESASummer24
_kNtfYVdpGA,10527,Pokémon Platinum Any% race vs linewashere from ESA Summer 2024 #ESASummer24
nVbJn6siuic,4704,"ESA Summer 24 South Park: Snow Day! All Chapters (PC, Easy, Co-op) - 1:14:47"
UPypek_qGbM,3414,EarthBound [Any%] by DoctorSwellman - #ESASummerOnline
i8jnh5jJcvk,1689,Aperture Tag [Any%] by Msushi100 - #ESASummerOnline
QqOH-_qIjNs,12948,Golden Sun [Any% No Save & Quit] by Plexa - #ESASummer24
DyRIgbQIpgA,571,Space Quest II: Vohaul's Revenge [Any% No Cheat] by Joka - #ESASummer24
L5ls7utzD-Y,3692,The Legend of Zelda: A Link to the Past Randomizer [Pilot Spoiler Keysanity] - #ESASummer24
SOwgfdpgASo,1129,Lemma [any%] by Drunkenshoe - #ESASummer24
jf4npbzfYhg,17205,Pokémon Sword / Shield [Trade Alt Main (Litten)] by Retrotato - #ESASummerOnline
0ZP4RO2YRpg,470,Streemerz [any%] by bassguy4 - #ESASummer24
zhsiZgfQnbI,4045,Hitman: Blood Money [All Achievements] by AlphaBrother - #ESAWinter24
f28Z7fOOJpE,1338,The Immortal [Any%] by Eriphram - #ESASummerOnline
IW9CorNfu6M,3000,#ESASummer18 Speedruns - Hitman: Blood Money [Silent Assassin] by TheKotti
-cr6kOQhxX4,663,Watch&Run [Any% (v1.2.4)] by TheRedSock - #ESASummerOnline
CfT3F7otIOU,2499,Super Castlevania IV [Any%] by Tinnue - #ESASummer21
1lw5HfpdCuI,4631,Harry Potter and the Philosopher's Stone [Any%] by DylWingo - #ESASummerOnline
FBUUI2XJPAA,1831,"living alone diaries 🌱₊˚⊹ working on my small business, LA itinerary, malibu day trip, heatwave, etc"
Hyq9nQofrLc,906,Umihara Kawase [Longest Path] by NitrozSR - #ESASummer24
daLO__ACCAQ,2413,Viewfinder [Any% (2 Players 1 M&K)] by Monojira and Cropax - #ESASummer24
DtwLI6QpUco,6054,Nier Automata [Any%] by Kyoslilmonster - #ESASummerOnline
lVV-IPgXno0,3480,Spongebob Squarepants: Battle For Bikini Bottom [Any%] by Jackalacka - #ESASummerOnline
F6ZCStZNGsA,2086,Street Boyz [NG+ All Stages] by RebelDragon95 - #ESASummer24
iwV_QV2XhCI,3503,Deus Ex: Mankind Divided [Any%] by Heinki - #ESASummerOnline
TWawIXJQ1yk,1236,Chuckie Egg [Complete Level 16] by TinyTim78 - #ESASummer24
7ra890ujvzI,1168,Quake [Easy Run] by Elgu_ - #ESASummerOnline
tZwzq66luvA,1058,ICEY [NG+ Judas Ending] by AEtienne - #ESASummer24
3U7d58_E91A,3942,Ratchet & Clank: Going Commando [All Platinum Bolts] by SNEEPYY - #ESASummer25
OEV6_o5Tyog,3051,Spirit of the North [Any%] by TheRedSock - #ESASummerOnline
wBSqpNxtfLk,2001,Clustertruck [Twitch%] by Heinki - #ESASummer24
Fs5p73JWopI,3757,Super Mario 64 Archipelago [Ability Randomizer] by 360Chrism - #ESASummer24
KNzg5Ie1cxA,769,Rod Land [Any% Co-op] by Niss3 and JkL0ser - #ESASummer24
rWsXRzenFpE,6226,The Legend of Zelda: Skyward Sword [Any%] by Kitcot6 - #ESASummerOnline
AzE0N0kRDGY,3074,Diddy Kong Racing [Any%] by MrPonytale - #ESASummer24
AhbNMAJbpK8,13375,Old School Runescape [OSRS Bingo] by GiantClam and DaanSmoki - #ESASummer24
o7ODdU-3mzM,823,Yume Penguin Monogatari [Any%] by CartinaCow and EndySWE - #ESASummer24
C2-04i_zt9k,2501,Sonic Adventure DX: Director's Cut [Sonic's Story] by DreeGon - #ESASummer24
Bn9VOnpMEO8,3380,Shadow Warrior 3 [Any%] by 83kY - #ESASummer24
9oe2A2K9IIo,6687,Splatoon [All Scrolls (Dance Pad)] by PeekingBoo - #ESASummerOnline
