# What resolve picks for every row of horaro's 2021-winter out of
# esa-winter-2021-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #52).
uuid,game,category,video_id,tier,title
d2b738a25f9785e02664f95b,Skies of Arcadia: Legends (PRE-SHOW),100%,XQYpLtXwpks,tag-game-runner,Skies of Arcadia: Legends (PRE-SHOW) [100%] by Pengyy - Part 3/6 - #ESAWinter21
hiOromityouredoingagreatjobdontletanybodytellyouotherwise,Opening Speech,,3aIaCQaaCCM,weak,Closing Speech by Fatzke - #ESAWinter21
a682045f329159479ffc8550,Dark Souls Remastered,All Bosses,k-nRn4vf6PI,tag-game-runner,Dark Souls Remastered [All Bosses] by catalystz - #ESAWinter21
fcb79b101239d0cf8e5aabaf,Teenage Mutant Ninja Turtles: Out of the Shadows,NG+ (Co-op),8-nL77Ty-wE,tag-game,Teenage Mutant Ninja Turtles: Out of the Shadows [NG+ (Co-op)] - #ESAWinter21
f01e769dbd747b160428330a,Minecraft,"Any% (1.16, Random Seed, Glitchless)",m2zxxMj3glk,tag-game-runner,"Minecraft [Any% (1.16, Random Seed, Glitchless)] by Juh0rse - #ESAWinter21"
4db57f8a9e940d00505d8e4f,Hyper Light Drifter,"Any% (NMG, Alt)",BemQ5ft_XmI,tag-game-runner,"Hyper Light Drifter [Any% (NMG, Alt)] by Covert_Muffin - #ESAWinter21"
e23bec75f0ec88e5f7c793d5,I Wanna Be The Boshy,"Any% (Average, Dark Boshy, No Wrong Warp)",1M2oIGoL8Mg,tag-game-runner,"I Wanna Be The Boshy [Any% (Average, Dark Boshy, No Wrong Warp)] by BBF_ - #ESAWinter21"
3e0d43479f2149e29cb4b349,Sonic 4: Episode 2,Beat The Game,yf7vLTXg84A,tag-game-runner,Sonic 4: Episode 2 [Beat The Game] by Argick - #ESAWinter21
e0dee897a1470df672792a7b,Mega Man: The Wily Wars,Mega Man 1 (Any%),_0t418brApw,tag-game-runner,Mega Man: The Wily Wars [Mega Man 1 (Any%)] by TheBlacktastic - #ESAWinter21
4afeb4ce9cefd2c3b110806e,Mega Man X,100%,aaHUhwK3hqI,tag-game-runner,Mega Man X [100%] by Clipper - #ESAWinter21
18438477de9c4430cc4637b8,Super Mario 64,16 Star (Blindfolded),jQMbfm75Uf4,tag-game-runner,Super Mario 64 [16 Star (Blindfolded)] by Bubzia - #ESAWinter21
ad212c01049a4dc8b4df2295,Super Mario 64,16 Star (Dance Pad),4ks0kz4d7vc,tag-game-runner,Super Mario 64 [16 Star (Dance Pad)] by PeekingBoo - #ESAWinter21
cc8ffaa35349494d8bf860b5,Hades,3 Weapons,T6paFuYeK7U,weak,Halo 3: ODST [Easy] by XeroHR - #ESAWinter21
f4bfb5b444bdc8a07f599e38,Crash Team Racing,Any% Warpless,mdIokyu4jvA,tag-game-runner,Crash Team Racing [Any% Warpless] by hypnoshark - #ESAWinter21
a994b7b5bf2b0e39e12a9e55,The Legend of Zelda: Oracle of Ages,Any%,i2AF9Oj3v8g,weak,The Legend of Zelda: Link's Awakening (2019) [Any%] by Strackel and Miniretin - #ESAWinter21
53f6180ca9b99a8f5791cdf6,Control,Any%,JzhXQrjnCLk,tag-game-runner,Control [Any%] by DemonicRobots - #ESAWinter21
92ce2b03977793800a6ecc59,Metal Gear Solid: Peace Walker,First Ending (S-Rank),NcDim0pV4ic,tag-game-runner,Metal Gear Solid: Peace Walker [First Ending (S-Rank)] by Jaguar_King - #ESAWinter21
a527fc5f6f4bad241d819c1a,Grand Theft Auto 2,All Missions,pKdolxuMTdY,tag-game-runner,Grand Theft Auto 2 [All Missions] by Tezur0 - #ESAWinter21
3cea1084efe6198df3905300,Wizkid: The Story of Wizball II,Any%,wkhqiZcxhoc,tag-game-runner,Wizkid: The Story of Wizball II [Any%] by Robo_Sparkle - #ESAWinter21
