# Every result of one `yt-dlp ytsearch400:#ESAWinter21`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
RFtXd0TolBE,8268,Crash Bash [Any% (No Memory Manipulation)] by Pie - #ESAWinter21
9sV5o0KfQ4c,4381,Undertale [Genocide] by Drakodan - #ESAWinter21
oeDVHIt-TxA,1351,Katana ZERO [All Stages] by Xerclipse - #ESAWinter21
x-oiURoPz_k,9748,Pokémon Emerald Randomizer [Pokédex Blackout] by 360Chrism and SheNanagans_ - #ESAWinter21
NcDim0pV4ic,7344,Metal Gear Solid: Peace Walker [First Ending (S-Rank)] by Jaguar_King - #ESAWinter21
-43XSRvGAlA,1771,Unearthed: Trail of Ibn Battuta [Any%] by Hibnotix - #ESAWinter21
_0t418brApw,1664,Mega Man: The Wily Wars [Mega Man 1 (Any%)] by TheBlacktastic - #ESAWinter21
S1ZJBZZt0U8,2601,Super Metroid [GT Classic] by kekumanshoyu - #ESAWinter21
rVJbJAxJE-c,587,Baby Shark VR Dancing [Any%] by Kainalo - #ESAWinter21
3-jfwiWbD38,3880,Spyro Reignited Trilogy - Spyro: Year of the Dragon [Any%] by NostTW - #ESAWinter21
u6oCJJfKy7I,1813,Power Rangers: Lightspeed Rescue [Any%] by Proto_Sonic - #ESAWinter21
mbBFpNLZT6E,1539,Blackstar's (Genetically Realistic) Family Tree [CC]
eISEAatkot8,1127,SegaSonic the Hedgehog [Beat The Game] by Hibnotix and STwoLive - #ESAWinter21
T6paFuYeK7U,4939,Halo 3: ODST [Easy] by XeroHR - #ESAWinter21
2ZckF5PXeIk,11522,Fallout 3 [All Quests (w/ DLC) & Bobbleheads] by Jabo - #ESAWinter21
9AhqfdQkYK0,3038,Ghostrunner [Any% (Inbounds)] by 7rayD - #ESAWinter21
clZj3XvouoE,2448,Mega Man Ultra [Any%] by Kuumba_ - #ESAWinter21
w_SrMlIurjA,5469,Darksiders [All Chosen Bosses] by henyK - #ESAWinter21
Igp8lEhfF80,1314,WARP [Any%] by SeductiveSpatula - #ESAWinter21
cuYNnUnU3oA,5662,ESA Winter 21 - Harry Potter 3 PC 100% Speedrun
BemQ5ft_XmI,2021,"Hyper Light Drifter [Any% (NMG, Alt)] by Covert_Muffin - #ESAWinter21"
mdIokyu4jvA,3613,Crash Team Racing [Any% Warpless] by hypnoshark - #ESAWinter21
IqzkoJDaEAA,960,Metroid [Any%] by CHX42 - #ESAWinter21
gz8y5y3EB7k,4036,Sonic 3D Blast [Best Ending] by KingRhodesTN - #ESAWinter21
wkhqiZcxhoc,3063,Wizkid: The Story of Wizball II [Any%] by Robo_Sparkle - #ESAWinter21
VboYxvkz9wU,2361,Furi [Speedrun Mode] by chocbob and SombraCakes - #ESAWinter21
zL-EbzDd4CI,124,ESA Winter 2021 Opening Speech from Edenal
1jlztGKQbSQ,1340,Dizzy: Prince of the Yolkfolk [Any%] by TinyTim78 - #ESAWinter21
kiI1t5vVl9U,3402,Celeste [Any% (Dance Pad)] by PeekingBoo - #ESAWinter21
pKdolxuMTdY,12203,Grand Theft Auto 2 [All Missions] by Tezur0 - #ESAWinter21
5Ke-F6_q7oI,4056,SAW: The Game [Any%] by Juh0rse - #ESAWinter21
K9l8ZF9DOsY,1445,Castlevania: Rondo of Blood [Maria Only] by LattMackey - #ESAWinter21
cwbC-HwZwwI,2811,Super Cable Boy [Any%] by BoneyC - #ESAWinter21
igzIi-zw7Xg,1375,Super Valis IV [Normal (JP)] by Tinnue - #ESAWinter21
JzhXQrjnCLk,4078,Control [Any%] by DemonicRobots - #ESAWinter21
-vzFCPD1IIA,2540,"Deltarune [Any% (NG+, Blindfolded)] by Bubzia - #ESAWinter21"
KbLRC0qeMN4,1757,Rolan's Curse [Any% (Glitchless)] by JkL87 - #ESAWinter21
6Awm0ppy17g,3034,Mirror's Edge [Any% (Inbounds)] by Meteos_Probably and BINGOBONGOS - #ESAWinter21
cLxvxvLrlL8,1932,Touhou 12.8: Great Fairy Wars [A1L Score Attack] by EeroKurkisuo - #ESAWinter21
aaHUhwK3hqI,2584,Mega Man X [100%] by Clipper - #ESAWinter21
GQpc6eBJXWo,759,Taz-Mania [Any%] by Grumpmeister - #ESAWinter21
B6CfzgbPh7g,2941,Pikuniku [Any%] by GreenSnowDog - #ESAWinter21
23dX0RPPO-c,5871,Crash Bandicoot 4: It's About Time [Any%] by Damosk - #ESAWinter21
G3mM1DhyItU,846,Castlevania [Any%] by 2snek - #ESAWinter21
yf7vLTXg84A,3196,Sonic 4: Episode 2 [Beat The Game] by Argick - #ESAWinter21
eXwuWJGu5yU,8895,Grand Theft Auto: Vice City Stories [Any%] by Joshimuz - #ESAWinter21
8I9V7_RHKM4,1998,Bloodstained: Curse of the Moon 2 [Episode 1 (Ultimate)] by TheBlacktastic - #ESAWinter21
v6mZ6XujLN4,1548,Sonic the Hedgehog (1991) [Glitchless] by SuperSonic_ - #ESAWinter21
euu7Sz85mzs,5290,Halo: Reach [Legendary] by Two_EEzy - #ESAWinter21
h14ld_ySar4,2806,Pikmin 3 Deluxe [Any%] by RDVvsTheWorld - #ESAWinter21
MpsRzhuuCSo,1939,Tetris: The Grand Master [Master Mode] by FreyasSpirit - #ESAWinter21
SboRvFiQ36E,1006,Yogho! Yogho! [Any%] by janglestorm - #ESAWinter21
NCvgN4_hW9M,1219,Fallout 3 [Any%] by bananapegasus - #ESAWinter21
3aIaCQaaCCM,616,Closing Speech by Fatzke - #ESAWinter21
xb8wCvg_YyU,3904,Resident Evil 2 (2019) [Claire B] by MattRPD - #ESAWinter21
LCs2iq9xd-s,4313,Grim Fandango: Remastered [Any%] by KonceptioN2 - #ESAWinter21
